artifact_id,artifact_name,role,local_path,actual_sha256,controlled_or_sidecar_sha256,hash_result,archive_test,handling,release_state,notes
SRC-GLOBAL-001,EMOPET_GLOBAL_CURRENT_2026-08-25(1).zip,IMMUTABLE GLOBAL SOURCE ZIP,upload/EMOPET_GLOBAL_CURRENT_2026-08-25(1).zip,f464f15959e2010e77302289d8622129673af613d3350bb863b85173b270b376,f464f15959e2010e77302289d8622129673af613d3350bb863b85173b270b376,PASS,PASS,SOURCE / IMMUTABLE,NOT RELEASED — SOURCE REFERENCE,Binary excluded from R2 payload; exact identity and custody recorded here.
SRC-CLOSURE-001,EMOPET_DISCOVERY_STOP_CONDITION_CLOSURE_2026-08-25(2).zip,DISCOVERY STOP-CONDITION CLOSURE INPUT,upload/EMOPET_DISCOVERY_STOP_CONDITION_CLOSURE_2026-08-25(2).zip,1f639ca3ee731124ef487edf260eddb933ae3373aeeb3f0431869ee65ae9c6e2,1f639ca3ee731124ef487edf260eddb933ae3373aeeb3f0431869ee65ae9c6e2,PASS,PASS,CONTROLLED INPUT / IMMUTABLE,CONTROLLED INPUT,Binary excluded from R2 payload; exact identity and custody recorded here.
AUDIT-DISCOVERY-001,EMOPET_DISCOVERY_AUDIT_WORKING_2026-08-25.zip,READ-ONLY DISCOVERY AUDIT,EMOPET_DOCUMENT_CONTROL_2026/10_RELEASE_CONTROL/EMOPET_DISCOVERY_AUDIT_WORKING_2026-08-25.zip,2975110461c4b0ae73b08ecbcfacbfa7e7ba0cc3f2e806d9ab54e0ce2779bc91,,PASS — IDENTITY RECORDED,PASS,HISTORICAL AUDIT,NOT RELEASED,Binary excluded from R2 payload; exact identity and custody recorded here.
PILOT-V2-001,EMOPET_V2_PILOT_CANDIDATE_2026-08-26.zip,CONTROLLED SEVEN-CATEGORY QA PILOT,EMOPET_DOCUMENT_CONTROL_2026/10_RELEASE_CONTROL/EMOPET_V2_PILOT_CANDIDATE_2026-08-26.zip,04410ba80917fca415df48c5775ee8547bb81c20683662d01d61343a77938153,04410ba80917fca415df48c5775ee8547bb81c20683662d01d61343a77938153,PASS,PASS,IMMUTABLE QA EVIDENCE,PASS_WITH_NOTES / NOT RELEASED,Binary excluded from R2 payload; exact identity and custody recorded here.
POST-B1-001,EMOPET_POST_PILOT_BATCH1_CHECKPOINT_2026-08-26_NOT_RELEASED.zip,POST-PILOT BATCH 1 CONTROL CHECKPOINT,EMOPET_DOCUMENT_CONTROL_2026/10_RELEASE_CONTROL/EMOPET_POST_PILOT_BATCH1_CHECKPOINT_2026-08-26_NOT_RELEASED.zip,d0a2118bbef9668a1121e9f4b91505ab085facbbe260723b9d91b80cade9099d,d0a2118bbef9668a1121e9f4b91505ab085facbbe260723b9d91b80cade9099d,PASS,PASS,IMMUTABLE CONTROL CHECKPOINT,NOT RELEASED,Binary excluded from R2 payload; exact identity and custody recorded here.
B1-EVID-001,EMOPET_BATCH1_EVIDENCE_CHECKPOINT_2026-08-26_NOT_RELEASED.zip,BATCH 1 EVIDENCE CHECKPOINT,EMOPET_DOCUMENT_CONTROL_2026/10_RELEASE_CONTROL/EMOPET_BATCH1_EVIDENCE_CHECKPOINT_2026-08-26_NOT_RELEASED.zip,42087b56b594de7c065e38a13ea02d9a05b4fcedf0f9713121690b9912a559f7,42087b56b594de7c065e38a13ea02d9a05b4fcedf0f9713121690b9912a559f7,PASS,PASS,IMMUTABLE CONTROL CHECKPOINT,NOT RELEASED,Binary excluded from R2 payload; exact identity and custody recorded here.
B2-ENG-001,EMOPET_BATCH2_ENGINEERING_CHECKPOINT_2026-08-27_NOT_RELEASED.zip,BATCH 2 ENGINEERING CHECKPOINT,EMOPET_DOCUMENT_CONTROL_2026/10_RELEASE_CONTROL/EMOPET_BATCH2_ENGINEERING_CHECKPOINT_2026-08-27_NOT_RELEASED.zip,89dd5b89ca2a73ddc7bcadbdaa0c961973f432273d179711f7f7c6f72a92ff9d,89dd5b89ca2a73ddc7bcadbdaa0c961973f432273d179711f7f7c6f72a92ff9d,PASS,PASS,IMMUTABLE CONTROL CHECKPOINT,NOT RELEASED,Binary excluded from R2 payload; exact identity and custody recorded here.
B3-SCI-001,EMOPET_BATCH3_SCIENCE_CHECKPOINT_2026-08-27_NOT_RELEASED.zip,BATCH 3 SCIENCE CHECKPOINT — RECOVERED EXACT ARCHIVE,EMOPET_DOCUMENT_CONTROL_2026/10_RELEASE_CONTROL/EMOPET_BATCH3_SCIENCE_CHECKPOINT_2026-08-27_NOT_RELEASED.zip,a457008037a5b14e47ae3c248728c375b3c4e5c4bf40bdf2b3e685c70f293aac,a457008037a5b14e47ae3c248728c375b3c4e5c4bf40bdf2b3e685c70f293aac,PASS,PASS,IMMUTABLE CONTROL CHECKPOINT,NOT RELEASED,Binary excluded from R2 payload; exact identity and custody recorded here.
B4-SW-001,EMOPET_BATCH4_SOFTWARE_DATA_CYBER_CHECKPOINT_2026-08-27_NOT_RELEASED.zip,BATCH 4 SOFTWARE / DATA / CYBER CHECKPOINT,EMOPET_DOCUMENT_CONTROL_2026/10_RELEASE_CONTROL/EMOPET_BATCH4_SOFTWARE_DATA_CYBER_CHECKPOINT_2026-08-27_NOT_RELEASED.zip,8eea92d6ddbef5adecae02ec3cf092a9832b4e753e19ed2dacb1ee2a03b1b8bf,8eea92d6ddbef5adecae02ec3cf092a9832b4e753e19ed2dacb1ee2a03b1b8bf,PASS,PASS,IMMUTABLE CONTROL CHECKPOINT,NOT RELEASED,Binary excluded from R2 payload; exact identity and custody recorded here.
B5-BFL-001,EMOPET_BATCH5_BUSINESS_FINANCE_LEGAL_CHECKPOINT_2026-08-28_NOT_RELEASED.zip,BATCH 5 BUSINESS / FINANCE / LEGAL CHECKPOINT,EMOPET_DOCUMENT_CONTROL_2026/10_RELEASE_CONTROL/EMOPET_BATCH5_BUSINESS_FINANCE_LEGAL_CHECKPOINT_2026-08-28_NOT_RELEASED.zip,cae4586357409ed73e067f56825cc4111618476d097db899e5d2358f2df4bcf7,cae4586357409ed73e067f56825cc4111618476d097db899e5d2358f2df4bcf7,PASS,PASS,IMMUTABLE CONTROL CHECKPOINT,NOT RELEASED,Binary excluded from R2 payload; exact identity and custody recorded here.
