supersession_id,type,scope,historical_or_superseded,current_authority,status,effective_date,source,notes
SUPR-001,COMPONENT / BENCH BASELINE,MAT Phase 0 controller/logger,nRF5340 / nRF5340 DK,PCA10056 rev 3.0.3 / nRF52840 DK,SUPERSEDED → CONTROLLED P0 BENCH BASELINE,2026-08-09,ENG-MAT-002 SUPERSESSION_2026-08-13; ENG-003 O-040,Does not select the Product V1 controller.
SUPR-002,COMPONENT / INTERFACE,MAT Phase 0 piezo ADC/EVM,ADS131M08 / ADS131M08EVM,ADS131M04 / ADS131M04EVM,SUPERSEDED → CONTROLLED P0 INTERFACE BASELINE,2026-08-09,ENG-MAT-002 SUPERSESSION_2026-08-13; ENG-003 component decisions,Product V1 ADC remains separate.
SUPR-003,COMPONENT / INTERFACE,MAT Phase 0 load-cell ADC/EVM,ADS1234,ADS1261 / ADS1261EVM,SUPERSEDED → CONTROLLED P0 INTERFACE BASELINE,2026-08-09,ENG-MAT-002 SUPERSESSION_2026-08-13; ENG-003 component decisions,Exact load-cell MPN/metrology remain open.
SUPR-004,OPEN ITEM,Firmware portability,O-028 nRF5340 bench ↔ nRF52840 product premise,O-046 PCA10056 kit ↔ MS88SFB module portability,O-028 SUPERSEDED / CLOSED; O-046 OPEN,2026-08-18,ENG-003 OPEN_ITEMS_v1.9_RECONCILED,Native IDs not recycled.
SUPR-005,DOCUMENT TITLE / THIRD-PARTY ORIGINAL,MOKO company document,LEG-SUP-009 Company Registration,Company Profile title in index/manifest,TITLE CORRECTION — ORIGINAL BINARY UNCHANGED,2026-08-25,02_CURRENT_UPDATES_2026-08-25/00_GOVERNANCE/EMOPET_RECONCILIATION_CLAUDE_2026-08-25.md,Do not modify the third-party PDF; identical binary remains preserved.
SUPR-006,RELEASE PACKAGE,MOKO partner package,MOKO r1.2 and r1.3,MOKO r1.4 release candidate,HISTORICAL / SUPERSEDED → RELEASE CANDIDATE,2026-08-25,00_START_HERE/READ_FIRST_CURRENT_2026-08-25.md,Actual transmission remains NOT VERIFIED.
SUPR-007,TECHNICAL STATUS CORRECTION,TAG GNSS,Any wording treating L76K as selected,L76K = OPEN SOURCE GATE — NOT SELECTED,EXPLICIT CONTROLLED CORRECTION,2026-08-25,WORK MASTER PROMPT; READ_FIRST_CURRENT_2026-08-25.md,Autonomous position acquisition remains required; component selection remains open.
SUPR-008,TECHNICAL STATUS CORRECTION,Battery B1R,Generic 602030 ~300 mAh quantitative Phase 2 use / any implied selected battery,NO BATTERY SELECTED; exact candidate statuses per Work Master Prompt,EXPLICIT CONTROLLED CORRECTION,2026-08-25,WORK MASTER PROMPT,No final autonomy claim; do not infer 10C current limits.
SUPR-009,AUTHORITY LIMIT,Deep Research / AI outputs,Any interpretation treating research/AI output as decision authority,Audit and remediation input only,NOT AUTHORITY OVER LATER CONTROLLED DECISIONS,2026-08-25,WORK MASTER PROMPT; READ_FIRST_CURRENT_2026-08-25.md,Research may verify sources but cannot select components or close gates.
SUPR-010,BRAND VISUAL AUTHORITY,Global EMOPET visual identity,Typographie et Couleur_FR — Playfair Display / Montserrat / indigo-coral-teal system,BRAND-AUTHORITY-001 / EMOPET_Charte_Graphique_v2.html v2.0,HISTORICAL / LEGACY BRAND MATERIAL — SUPERSEDED AS CURRENT AUTHORITY,2026-08-25,BRAND-AUTHORITY-001 §5.1,Source retained unchanged; no hybridization.
