file_id,source_path,logical_document_id,title,source_cluster,original_batch,controlled_route,document_role,authority_disposition,canonical_or_superseded_status,content_authority,evidence_status,conflict_or_limitation,required_action,source_sha256,third_party_original,duplicate_status,review_status
ZIP-0010,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/02_TAG_EVIDENCE_R1_4/CLAUDE_DELTA_HANDOFF_2026-08-24_21H_V2.md,TAG-EVIDENCE-HANDOFF-2026-08-24,CLAUDE_DELTA_HANDOFF_2026-08-24_21H_V2,TAG_MAT_ENGINEERING_EVIDENCE,BATCH 3,BATCH 2,ENGINEERING SOURCE / MODEL / TEST-PLAN INPUT,REROUTED — BATCH 2 ENGINEERING EVIDENCE,SUPPORTING ENGINEERING SOURCE — MATURITY PER SOURCE,Current engineering authorities and open-gate register govern; these files remain source/model/test inputs only.,SOURCE / PARAMETRIC / TEST-PLAN EVIDENCE — NO PHYSICAL VALIDATION,"Source availability, plans and models do not select a component or establish autonomy, performance or manufacturing readiness.",Retain source and reconcile in living Batch 2 scope; execute controlled tests before technical conclusions.,47a257e4a5ee74a80daffde05cbb0ba0f4215e812175a70bd7e2712e2b167b5d,False,UNIQUE BY BINARY HASH,RECONCILED 2026-08-27 — NOT RELEASED
ZIP-0011,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/02_TAG_EVIDENCE_R1_4/MAT_RfCf_LOW_FREQUENCY_RECOVERY_TRADE_STUDY.csv,ENG-MAT-RFCF-TRADE,MAT_RfCf_LOW_FREQUENCY_RECOVERY_TRADE_STUDY,TAG_MAT_ENGINEERING_EVIDENCE,BATCH 3,BATCH 2,ENGINEERING SOURCE / MODEL / TEST-PLAN INPUT,REROUTED — BATCH 2 ENGINEERING EVIDENCE,SUPPORTING ENGINEERING SOURCE — MATURITY PER SOURCE,Current engineering authorities and open-gate register govern; these files remain source/model/test inputs only.,SOURCE / PARAMETRIC / TEST-PLAN EVIDENCE — NO PHYSICAL VALIDATION,"Source availability, plans and models do not select a component or establish autonomy, performance or manufacturing readiness.",Retain source and reconcile in living Batch 2 scope; execute controlled tests before technical conclusions.,8f39ea7dabfac3004d130e4809fd0ee91338620c162427b19a8559e24752cef3,False,EXACT DUPLICATE MEMBER — EXACT-DUP-009,RECONCILED 2026-08-27 — NOT RELEASED
ZIP-0012,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/02_TAG_EVIDENCE_R1_4/MAT_RfCf_LOW_FREQUENCY_RECOVERY_TRADE_STUDY.md,ENG-MAT-RFCF-TRADE,MAT_RfCf_LOW_FREQUENCY_RECOVERY_TRADE_STUDY,TAG_MAT_ENGINEERING_EVIDENCE,BATCH 3,BATCH 2,ENGINEERING SOURCE / MODEL / TEST-PLAN INPUT,REROUTED — BATCH 2 ENGINEERING EVIDENCE,SUPPORTING ENGINEERING SOURCE — MATURITY PER SOURCE,Current engineering authorities and open-gate register govern; these files remain source/model/test inputs only.,SOURCE / PARAMETRIC / TEST-PLAN EVIDENCE — NO PHYSICAL VALIDATION,"Source availability, plans and models do not select a component or establish autonomy, performance or manufacturing readiness.",Retain source and reconcile in living Batch 2 scope; execute controlled tests before technical conclusions.,14e479a8307e568e3d5448118398276b795f8850eff4d36f7a31f521cf102efb,False,EXACT DUPLICATE MEMBER — EXACT-DUP-003,RECONCILED 2026-08-27 — NOT RELEASED
ZIP-0014,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/02_TAG_EVIDENCE_R1_4/TAG_NRF9151_OFFICIAL_SOURCE_CLOSURE_R2_2026-08-24.md,TAG-NRF9151-SOURCE-R2,TAG_NRF9151_OFFICIAL_SOURCE_CLOSURE_R2_2026-08-24,TAG_MAT_ENGINEERING_EVIDENCE,BATCH 3,BATCH 2,ENGINEERING SOURCE / MODEL / TEST-PLAN INPUT,REROUTED — BATCH 2 ENGINEERING EVIDENCE,SUPPORTING ENGINEERING SOURCE — MATURITY PER SOURCE,Current engineering authorities and open-gate register govern; these files remain source/model/test inputs only.,SOURCE / PARAMETRIC / TEST-PLAN EVIDENCE — NO PHYSICAL VALIDATION,"Source availability, plans and models do not select a component or establish autonomy, performance or manufacturing readiness.",Retain source and reconcile in living Batch 2 scope; execute controlled tests before technical conclusions.,7b21f666b0cb21ff00fc6c59b4e407df20883f27b1511fcdc8c6e30b320f48c4,False,UNIQUE BY BINARY HASH,RECONCILED 2026-08-27 — NOT RELEASED
ZIP-0021,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/02_TAG_EVIDENCE_R1_4/TAG_S0_MEASUREMENT_RUN_MATRIX_2026-08-24.csv,TAG-S0-RUN-MATRIX,TAG_S0_MEASUREMENT_RUN_MATRIX_2026-08-24,TAG_MAT_ENGINEERING_EVIDENCE,BATCH 3,BATCH 2,ENGINEERING SOURCE / MODEL / TEST-PLAN INPUT,REROUTED — BATCH 2 ENGINEERING EVIDENCE,SUPPORTING ENGINEERING SOURCE — MATURITY PER SOURCE,Current engineering authorities and open-gate register govern; these files remain source/model/test inputs only.,SOURCE / PARAMETRIC / TEST-PLAN EVIDENCE — NO PHYSICAL VALIDATION,"Source availability, plans and models do not select a component or establish autonomy, performance or manufacturing readiness.",Retain source and reconcile in living Batch 2 scope; execute controlled tests before technical conclusions.,1c62fb08067e852cea1dc2d1403cdd83df89dd95a5b83fe4c9c26547b1e24837,False,UNIQUE BY BINARY HASH,RECONCILED 2026-08-27 — NOT RELEASED
ZIP-0022,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/02_TAG_EVIDENCE_R1_4/TAG_S0_OFFICIAL_SOURCE_CAPTURE_2026-08-24.md,TAG-S0-SOURCE-CAPTURE,TAG_S0_OFFICIAL_SOURCE_CAPTURE_2026-08-24,TAG_MAT_ENGINEERING_EVIDENCE,BATCH 3,BATCH 2,ENGINEERING SOURCE / MODEL / TEST-PLAN INPUT,REROUTED — BATCH 2 ENGINEERING EVIDENCE,SUPPORTING ENGINEERING SOURCE — MATURITY PER SOURCE,Current engineering authorities and open-gate register govern; these files remain source/model/test inputs only.,SOURCE / PARAMETRIC / TEST-PLAN EVIDENCE — NO PHYSICAL VALIDATION,"Source availability, plans and models do not select a component or establish autonomy, performance or manufacturing readiness.",Retain source and reconcile in living Batch 2 scope; execute controlled tests before technical conclusions.,c17bb287e8da88712d017e23b6d554531cc0262f4c1ebbf428ae02f3d8636d39,False,UNIQUE BY BINARY HASH,RECONCILED 2026-08-27 — NOT RELEASED
ZIP-0047,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/_SOURCE_PACKAGES/EMOPET_DELTA_R1_4_EVIDENCE_PACKAGE_FOR_CLAUDE_2026-08-24.zip,TAG-EVIDENCE-PACKAGE-R1.4,EMOPET_DELTA_R1_4_EVIDENCE_PACKAGE_FOR_CLAUDE_2026-08-24,TAG_MAT_ENGINEERING_EVIDENCE,BATCH 3,BATCH 2,ENGINEERING EVIDENCE PACKAGE,REROUTED — BATCH 2 ENGINEERING EVIDENCE,14-FILE SOURCE PACKAGE — LINEAGE VERIFIED / NOT SCIENCE AUTHORITY,Current engineering authorities and open-gate register govern; these files remain source/model/test inputs only.,14/14 MEMBERS TRACEABLE TO STANDALONE SOURCE IDENTITIES — NO PHYSICAL VALIDATION,The package is complete and internally readable; completeness does not promote the contained models or plans.,Retain source and reconcile in living Batch 2 scope; execute controlled tests before technical conclusions.,1c202fbf681d03c08a2055f4a5b1c72567ce9f990b65323af121f93ed8fa3cc1,False,UNIQUE BY BINARY HASH,RECONCILED 2026-08-27 — NOT RELEASED
ZIP-0069,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/02_SCIENCE_AND_CLAIMS/SCI-001_EMOPET_Truth_Contract.docx,SCI-001,SCI-001_EMOPET_Truth_Contract,SCIENCE_AND_CLAIMS,BATCH 3,BATCH 3,TRUTH-CONTRACT AUTHORITY,CURRENT CONTROLLED NORMATIVE AUTHORITY — VALIDATION NOT IMPLIED,CANONICAL NORMATIVE CONTROL / NOT VALIDATION EVIDENCE,Defines the minimum inputs required before an insight can be treated as production-ready.,CONTROLLED INTERNAL — IMPLEMENTATION / VALIDATION EVIDENCE OPEN,"Normative requirements and architecture do not prove implementation, scientific validity or product performance.",Retain source; verify implementation and validation separately before any public or scientific claim.,473509d78562bd279e53123f68aa705da8af1e2c508c28b3fd35af59d71a204f,False,UNIQUE BY BINARY HASH,RECONCILED 2026-08-27 — NOT RELEASED
ZIP-0070,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/02_SCIENCE_AND_CLAIMS/SCI-002_EMOPET_Claim_Guard_Specification.docx,SCI-002,SCI-002_EMOPET_Claim_Guard_Specification,SCIENCE_AND_CLAIMS,BATCH 3,BATCH 3,CLAIM-GUARD AUTHORITY,CURRENT CONTROLLED NORMATIVE AUTHORITY — VALIDATION NOT IMPLIED,CANONICAL NORMATIVE CONTROL / NOT VALIDATION EVIDENCE,Defines blocked/review/style terms and prohibits medical or emotional-truth claims.,CONTROLLED INTERNAL — IMPLEMENTATION / VALIDATION EVIDENCE OPEN,"Normative requirements and architecture do not prove implementation, scientific validity or product performance.",Retain source; verify implementation and validation separately before any public or scientific claim.,b46700effc1221d32329e6e29bf172009d7def13e57ae442f49110f0af7f383d,False,UNIQUE BY BINARY HASH,RECONCILED 2026-08-27 — NOT RELEASED
ZIP-0071,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/02_SCIENCE_AND_CLAIMS/SCI-003_EMOPET_Trust_Ledger_And_Provenance_Model.docx,SCI-003,SCI-003_EMOPET_Trust_Ledger_And_Provenance_Model,SCIENCE_AND_CLAIMS,BATCH 3,BATCH 3,PROVENANCE-MODEL AUTHORITY,CURRENT CONTROLLED NORMATIVE AUTHORITY — VALIDATION NOT IMPLIED,CANONICAL NORMATIVE CONTROL / NOT VALIDATION EVIDENCE,"Defines observed, declared and interpreted truth classes and internal trace fields.",CONTROLLED INTERNAL — IMPLEMENTATION / VALIDATION EVIDENCE OPEN,"Normative requirements and architecture do not prove implementation, scientific validity or product performance.",Retain source; verify implementation and validation separately before any public or scientific claim.,6716cd702bc1f896acea0eb9c800c310b94c555c51ff62de2f6c394d4a86bf5f,False,UNIQUE BY BINARY HASH,RECONCILED 2026-08-27 — NOT RELEASED
