file_id,logical_document_id,title,document_family,revision,owner,classification,current_status_source_literal,canonical_status_preliminary,authority_layer,authority_resolution,superseded_by,content_authority,evidence_status,citation_status,open_conflicts,required_action,profile_internal_master,profile_moko_confidential,profile_public,source_sha256,source_path,review_status
ZIP-0156,DATA-002,DATA-002_EMOPET_Data_Privacy_And_Data_Act_Baseline,DATA,2.0,Regulatory,CONFIDENTIAL,CONTROLLED,CURRENT CONTROLLED PRIVACY BASELINE — PRODUCT-SCOPE SENTENCE PARTIALLY SUPERSEDED,CONTROLLED PRIVACY / DATA SOURCE,RESOLVED — PRIVACY CONTROLS CURRENT; COMMUNITY/V1 MEMBERSHIP WORDING SUPERSEDED,PRD-005; PRD-002; PRD-003; PRD-APP-001 for Product membership only,DATA FLOWS / PRIVACY / DATA-ACT DESIGN INPUTS; NOT PRODUCT MEMBERSHIP,CONTROLLED_INTERNAL + REGULATORY_VERIFIED / APPLICABILITY OPEN,OFFICIAL DATA ACT SOURCE VERIFIED; LEGAL APPLICABILITY REVIEW REQUIRED,SUPR-015; LOCATION POLICY; RETENTION; LEGAL APPLICABILITY,Preserve privacy invariants; correct only Product-scope wording in a new controlled revision.,INCLUDE — CONTROLLED SOURCE / RECONCILIATION RECORD,DISCLOSURE MATRIX / CURRENT r1.6 AUTHORITY REQUIRED,EXPLICIT PUBLICATION APPROVAL REQUIRED,3f9dca09625fda32a28acb4534b99858b90ad35ac3d3027089b8d23c232612df,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/05_DATA_PRIVACY_SECURITY_COMPLIANCE/DATA-002_EMOPET_Data_Privacy_And_Data_Act_Baseline.docx,BATCH 1 DOCUMENT-LEVEL AUTHORITY / REVISION / OWNER / CLASSIFICATION / PROFILE RECONCILED; CLAIM EVIDENCE PARTIAL
ZIP-0157,REG-001,REG-001_EMOPET_Regulatory_Baseline,LEG,1.0,Regulatory,CONFIDENTIAL,CONTROLLED,CONTROLLED INTERNAL WORKING REGULATORY BASELINE — NOT LEGAL ADVICE,CONTROLLED REGULATORY DESIGN INPUT,RESOLVED AT DOCUMENT LEVEL — KEY DATES VERIFIED; APPLICABILITY REMAINS OPEN,TO RECONCILE,DATED COMPLIANCE DESIGN INPUTS; FINAL LEGAL CLASSIFICATION NOT PROVIDED,REGULATORY_VERIFIED / LEGAL APPLICABILITY OPEN,KEY DATES VERIFIED TO OFFICIAL EU SOURCES 2026-08-26; CNIL/GDPR CLAIM RECONCILIATION PARTIAL,LEGAL/APPLICABILITY REVIEW REQUIRED; GDPR/CNIL connected-object source reconciliation incomplete,Retain NOT LEGAL ADVICE; assign legal owner and verify applicability before any release claim.,INCLUDE — CONTROLLED SOURCE / RECONCILIATION RECORD,DISCLOSURE MATRIX / CURRENT r1.6 AUTHORITY REQUIRED,EXPLICIT PUBLICATION APPROVAL REQUIRED,b82228aeb795a2c6344f0ab9a08fdf5a3143255c755a0cdca9261851387e2771,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/05_DATA_PRIVACY_SECURITY_COMPLIANCE/REG-001_EMOPET_Regulatory_Baseline.docx,BATCH 1 DOCUMENT-LEVEL AUTHORITY / REVISION / OWNER / CLASSIFICATION / PROFILE RECONCILED; CLAIM EVIDENCE PARTIAL
ZIP-0043,OBS-001-DELTA,BASELINE_DELTA_PRODUCT_OBSERVATION_STANDARD_2026-08-24,OBS,2026-08-24,Product,INTERNAL CONTROLLED INPUT,PROPOSED PRODUCT STANDARD DELTA — CONTROLLED INTEGRATION PENDING,CONTROLLED INTEGRATION INPUT — NOT YET BASELINE,PRODUCT DIRECTION / INTEGRATION INPUT,RESOLVED — PRESERVE AS DELTA; OBS-001 CONTROLLED MASTER STILL REQUIRED,TO RECONCILE,PRODUCT DIRECTION ONLY; NO SCIENTIFIC VALIDATION,CONTROLLED_INTERNAL / EVIDENCE PENDING,PARTIAL — CLAIM REGISTER REQUIRED,SCIENTIFIC VALIDATION OPEN; CONTROLLED OBS MASTER NOT YET APPROVED,Integrate into governed OBS-001 draft without promoting scientific maturity.,INCLUDE — CONTROLLED SOURCE / RECONCILIATION RECORD,DISCLOSURE MATRIX / CURRENT r1.6 AUTHORITY REQUIRED,EXPLICIT PUBLICATION APPROVAL REQUIRED,d0c68fd7ac3db2108b78d8c358aac541a88e2b73471ee35ab47303f754811998,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/04_PRODUCT_OBSERVATION_STANDARD/BASELINE_DELTA_PRODUCT_OBSERVATION_STANDARD_2026-08-24.md,BATCH 1 DOCUMENT-LEVEL AUTHORITY / REVISION / OWNER / CLASSIFICATION / PROFILE RECONCILED; CLAIM EVIDENCE PARTIAL
ZIP-0046,OBS-001-DRAFT,EMOPET_PRODUCT_OBSERVATION_STANDARD_v1_DRAFT,OBS,v1 DRAFT,Product,INTERNAL DRAFT,PROPOSED PRODUCT STANDARD — PRODUCT DIRECTION CONFIRMED — CONTROLLED BASELINE INTEGRATION PENDING,DRAFT PRODUCT DOCTRINE — NOT YET CONTROLLED OBS-001 MASTER,PRODUCT DIRECTION / DRAFT STANDARD,RESOLVED — PRODUCT DIRECTION PRESERVED; BASELINE APPROVAL PENDING,TO RECONCILE,PRODUCT DOCTRINE / ARCHITECTURE UNTIL SCIENTIFICALLY VALIDATED,CONTROLLED_INTERNAL / EVIDENCE PENDING,PARTIAL,"CONTROLLED MASTER, EXTERNAL VALIDATION AND CLAIM LIMITS OPEN",Reconcile as OBS-001 candidate; do not label scientifically validated.,INCLUDE — CONTROLLED SOURCE / RECONCILIATION RECORD,DISCLOSURE MATRIX / CURRENT r1.6 AUTHORITY REQUIRED,EXPLICIT PUBLICATION APPROVAL REQUIRED,b882acd8e6cebed503c28345312ec3704ead7bee2607e0a09538ad31bab3a9d9,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/04_PRODUCT_OBSERVATION_STANDARD/EMOPET_PRODUCT_OBSERVATION_STANDARD_v1_DRAFT.md,BATCH 1 DOCUMENT-LEVEL AUTHORITY / REVISION / OWNER / CLASSIFICATION / PROFILE RECONCILED; CLAIM EVIDENCE PARTIAL
ZIP-0050,OBS-001-DRAFT-PACKAGE,EMOPET_PRODUCT_OBSERVATION_STANDARD_v1_DRAFT_PACKAGE,OBS,v1 DRAFT PACKAGE,Product,INTERNAL SOURCE PACKAGE,PRESERVED SOURCE PACKAGE,SOURCE PACKAGE — NOT AN INDEPENDENT AUTHORITY,SOURCE PACKAGE,RESOLVED — PACKAGE LINEAGE ONLY,TO RECONCILE,MEMBER DOCUMENT MATURITY GOVERNS,NOT_ASSESSED_AT_PACKAGE_LEVEL,MEMBER-LEVEL,NONE AT PACKAGE LEVEL / MEMBER GATES APPLY,Preserve package; reconcile member documents individually.,INCLUDE — CONTROLLED SOURCE / RECONCILIATION RECORD,DISCLOSURE MATRIX / CURRENT r1.6 AUTHORITY REQUIRED,EXPLICIT PUBLICATION APPROVAL REQUIRED,f5b67a7161b30e2e3b65a853be1189992c8af5d49b5102123151659123548522,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/_SOURCE_PACKAGES/EMOPET_PRODUCT_OBSERVATION_STANDARD_v1_DRAFT_PACKAGE.zip,BATCH 1 DOCUMENT-LEVEL AUTHORITY / REVISION / OWNER / CLASSIFICATION / PROFILE RECONCILED; CLAIM EVIDENCE PARTIAL
ZIP-0044,OBS-002-DRAFT,EMOPET_OBSERVATION_CANONICAL_SCHEMA_v1_DRAFT,OBS,v1 DRAFT,Product,INTERNAL DRAFT,DRAFT,DRAFT — OBSERVATION SCHEMA INPUT,PRODUCT DRAFT,RESOLVED — DRAFT / NOT CONTROLLED BASELINE,TO RECONCILE,DRAFT PRODUCT ARCHITECTURE INPUT,CONTROLLED_INTERNAL / EVIDENCE PENDING,PARTIAL,CONTROLLED APPROVAL AND VALIDATION OPEN,Reconcile into OBS-002 controlled candidate after evidence and Product review.,INCLUDE — CONTROLLED SOURCE / RECONCILIATION RECORD,DISCLOSURE MATRIX / CURRENT r1.6 AUTHORITY REQUIRED,EXPLICIT PUBLICATION APPROVAL REQUIRED,a2d41165d86f816100326dabb9a3886263f885d91e85c2415c01efbff5529efe,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/04_PRODUCT_OBSERVATION_STANDARD/EMOPET_OBSERVATION_CANONICAL_SCHEMA_v1_DRAFT.json,BATCH 1 DOCUMENT-LEVEL AUTHORITY / REVISION / OWNER / CLASSIFICATION / PROFILE RECONCILED; CLAIM EVIDENCE PARTIAL
ZIP-0421,OBS-006,OBS-006_EMOPET_Competitor_Owner_Evidence_Review_DRAFT,OBS,DRAFT / 2026-08-25,Product Research,INTERNAL DRAFT,DRAFT / EVIDENCE REVIEW INPUT — NOT A SCIENTIFIC VALIDATION,DRAFT EVIDENCE REVIEW — NOT SCIENTIFIC VALIDATION,EVIDENCE REVIEW INPUT,RESOLVED — DRAFT / SOURCE LIMITATIONS PRESERVED,TO RECONCILE,RESEARCH INPUT ONLY; CANNOT SELECT PRODUCT OR SCIENTIFIC CLAIMS,MIXED — COMPETITOR_CLAIM / PRIMARY_SURVEY / SOURCE_NOT_RECONCILED,PARTIAL — LIVE OFFICIAL CHECKS RECORDED,HARRIS WILLIAMS 85% CLAIM SOURCE_NOT_RECONCILED; INDEPENDENT VALIDATION LIMITED,Retain source tiers and conflict notes; do not present manufacturer claims as validation.,INCLUDE — CONTROLLED SOURCE / RECONCILIATION RECORD,DISCLOSURE MATRIX / CURRENT r1.6 AUTHORITY REQUIRED,EXPLICIT PUBLICATION APPROVAL REQUIRED,362c605f831cdc92476556b4a27120e512a163efaebf4dd924e7566b2dad0994,04_RESEARCH_AND_EVIDENCE/PRODUCT_OBSERVATION/OBS-006_EMOPET_Competitor_Owner_Evidence_Review_DRAFT.md,BATCH 1 DOCUMENT-LEVEL AUTHORITY / REVISION / OWNER / CLASSIFICATION / PROFILE RECONCILED; CLAIM EVIDENCE PARTIAL
ZIP-0045,OBS-UX-EXAMPLES-DRAFT,EMOPET_OBSERVATION_EXAMPLES_v1_DRAFT,OBS,v1 DRAFT,Product / UX,INTERNAL DRAFT,UX / SEMANTIC EXAMPLES — NOT SCIENTIFIC VALIDATION,DRAFT UX EXAMPLES — NOT VALIDATION,PRODUCT / UX DRAFT,RESOLVED — EXAMPLES ONLY; NO CLAIM AUTHORITY,TO RECONCILE,LANGUAGE EXAMPLES ONLY,ASSUMPTION / CONTROLLED_INTERNAL,NOT APPLICABLE TO EXAMPLE COPY / CLAIMS MUST TRACE,CONTROLLED UX POLICY AND SCIENTIFIC REVIEW OPEN,Use only as input to OBS-007; preserve abstention and non-diagnostic language.,INCLUDE — CONTROLLED SOURCE / RECONCILIATION RECORD,DISCLOSURE MATRIX / CURRENT r1.6 AUTHORITY REQUIRED,EXPLICIT PUBLICATION APPROVAL REQUIRED,923305b6ff6b8676d5bd1f16733ec7f2081dbca86a6f4038d415e85bc875595f,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/04_PRODUCT_OBSERVATION_STANDARD/EMOPET_OBSERVATION_EXAMPLES_v1_DRAFT.md,BATCH 1 DOCUMENT-LEVEL AUTHORITY / REVISION / OWNER / CLASSIFICATION / PROFILE RECONCILED; CLAIM EVIDENCE PARTIAL
ZIP-0055,PRD-001,PRD-001_EMOPET_Public_Architecture_And_Naming,PRD,2.0,Product / Brand,CONFIDENTIAL,CONTROLLED,CURRENT CONTROLLED PRODUCT AUTHORITY — PUBLIC ARCHITECTURE / NAMING,CONTROLLED PRODUCT SOURCE,RESOLVED — CURRENT WITH LATER FOUNDER DECISIONS APPLYING WHERE EXPLICIT,TO RECONCILE,PUBLIC ENTRY ARCHITECTURE AND NAMING ONLY,CONTROLLED_INTERNAL,NOT APPLICABLE TO GOVERNANCE / EXTERNAL CLAIMS REQUIRE SOURCES,PROVISIONAL SIGNATURE REMAINS UNDER GUARDIAN TESTING,Preserve authority scope; do not expand public claims without approval.,INCLUDE — CONTROLLED SOURCE / RECONCILIATION RECORD,DISCLOSURE MATRIX / CURRENT r1.6 AUTHORITY REQUIRED,EXPLICIT PUBLICATION APPROVAL REQUIRED,5cf2482e017a69d7d1daca4ba47b77f9dfd3457813542583c8670c0f94a3d2a8,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/01_PROJECT_AND_PRODUCT/PRD-001_EMOPET_Public_Architecture_And_Naming.docx,BATCH 1 DOCUMENT-LEVEL AUTHORITY / REVISION / OWNER / CLASSIFICATION / PROFILE RECONCILED; CLAIM EVIDENCE PARTIAL
ZIP-0056,PRD-002,PRD-002_EMOPET_Central_Product_Map,PRD,3.0,Product,CONFIDENTIAL,CONTROLLED,CURRENT CONTROLLED PRODUCT AUTHORITY — CENTRAL CAPABILITY MAP,CONTROLLED PRODUCT SOURCE,RESOLVED — CURRENT PRODUCT MAP,TO RECONCILE,CAPABILITY PLACEMENT; CAPABILITY-SPECIFIC SOURCES GOVERN DETAILS,CONTROLLED_INTERNAL,NOT APPLICABLE TO INTERNAL PRODUCT MAP,LOCAL CULTURE ROLE TO CONFIRM; ACTIVATION GATES REMAIN OPEN,Maintain role/maturity/activation separation.,INCLUDE — CONTROLLED SOURCE / RECONCILIATION RECORD,DISCLOSURE MATRIX / CURRENT r1.6 AUTHORITY REQUIRED,EXPLICIT PUBLICATION APPROVAL REQUIRED,84e590e3c4f0b7a867428c3c1c92b570c949b23f1a8ad0a6833a24e4dade9587,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/01_PROJECT_AND_PRODUCT/PRD-002_EMOPET_Central_Product_Map.docx,BATCH 1 DOCUMENT-LEVEL AUTHORITY / REVISION / OWNER / CLASSIFICATION / PROFILE RECONCILED; CLAIM EVIDENCE PARTIAL
