path,size_bytes,sha256,role,document_state,handling
00_GUIDES/EMOPET_GLOBAL_CONTINUATION_GUIDE_2026-09-01_R4_NOT_RELEASED.md,9644,9b0c392d412d50777df16c0ce0d363fa93a1899e0caa5b231967ab1b534cf02c,CONTROLLED_GUIDE,NOT_RELEASED,Internal controlled guidance; textual gate status remains authoritative.
00_GUIDES/R2_EXECUTION_GUIDE_EXACT/EMOPET_GLOBAL_CONTROL_AND_EXECUTION_GUIDE_2026-08-29.docx,80983,e13202e2edcf2df1c2ebd001b1e9acae7a687fefaf2a88da020ae83ef609d0c8,CONTROLLED_GUIDE,NOT_RELEASED,Internal controlled guidance; textual gate status remains authoritative.
00_GUIDES/R2_EXECUTION_GUIDE_EXACT/EMOPET_GLOBAL_CONTROL_AND_EXECUTION_GUIDE_2026-08-29.md,16021,d970b422d6992c4211e10ef5c2149e861ecd32b2796c81a2baa54c86087440f4,CONTROLLED_GUIDE,NOT_RELEASED,Internal controlled guidance; textual gate status remains authoritative.
00_GUIDES/R2_EXECUTION_GUIDE_EXACT/EMOPET_GLOBAL_CONTROL_AND_EXECUTION_GUIDE_2026-08-29_PASS_WITH_NOTES_NOT_RELEASED.pdf,362818,b67443d82299ae5c9880d362c312669ac2738d2c705cdabc4e120888da177196,CONTROLLED_GUIDE,NOT_RELEASED,Internal controlled guidance; textual gate status remains authoritative.
01_IMMUTABLE_SOURCE/EMOPET_GLOBAL_CURRENT_2026-08-25(1).zip,55864930,f464f15959e2010e77302289d8622129673af613d3350bb863b85173b270b376,IMMUTABLE_SOURCE_ARCHIVE,NOT_RELEASED,Preserve byte-identically; historical release-control anomaly remains in audit trail.
02_GLOBAL_CONTROL/EMOPET_DOCUMENT_CONTROL_GLOBAL_CHECKPOINT_2026-08-29_R2_NOT_RELEASED.zip,4248645,1fda848d1bb7a77513450f797171ba672f9a7fc7062b701f6af8c088ad713ce7,IMMUTABLE_GLOBAL_CONTROL_BASELINE,NOT_RELEASED,Preserve byte-identically; authoritative R2 control baseline.
02_GLOBAL_CONTROL/EMOPET_DOCUMENT_CONTROL_GLOBAL_CHECKPOINT_2026-08-31_R3_PROPOSED_NOT_RELEASED.zip,617830,fff0d6683ceaae087c7beb098fb31db7abc5a6bd24f4f8dafb19cf41e5ea3b37,PROPOSED_POST_R2_DELTA,NOT_RELEASED,HOLD / PROPOSED / NOT RELEASED; does not replace R2.
03_MOKO_LINEAGE/SUP-MOKO-004_EMOPET_Engineering_Review_Package_2026-08_r1.4.zip,3945051,2043fe122de169132192abd103913de237ea4691d2054c4160637fb71cc89690,MOKO_IMMUTABLE_HISTORICAL_SOURCE,NOT_RELEASED,Lineage only; not current MOKO authority.
03_MOKO_LINEAGE/SUP-MOKO-004_EMOPET_Engineering_Review_Package_2026-08_r1.5_PREPARED_NOT_SENT.zip,4219382,1e4d71af213cf34f84ad808b415d86c9f034bf08beec7b7b83374fdd37bc9cb4,MOKO_SUPERSEDED_RELEASE_CANDIDATE,NOT_RELEASED,Preserve unchanged; PREPARED_NOT_SENT.
03_MOKO_LINEAGE/SUP-MOKO-004_EMOPET_Engineering_Review_Package_2026-08_r1.6_PREPARED_NOT_SENT.zip,4223579,ca08ef8f81154a17cf1862884c19df6ff5d3a9a68163aded0fb587365794066c,MOKO_ACTIVE_CURRENT_CANDIDATE,NOT_RELEASED,Exact current candidate; PREPARED_NOT_SENT / NOT RELEASED.
04_PILOT_QA/EMOPET_V2_PILOT_CANDIDATE_2026-08-26.zip,1527547,04410ba80917fca415df48c5775ee8547bb81c20683662d01d61343a77938153,IMMUTABLE_PILOT_QA_EVIDENCE,NOT_RELEASED,PASS_WITH_NOTES / NOT RELEASED; no mass-conversion authority.
05_CONFIDENTIALITY_RESTRICTED/EMOPET_ASSOCIATE_PRESIGNATURE_READINESS_DELTA_R3_2026-09-01_NOT_FOR_SIGNATURE.zip,2482120,490e5390bee47831e98b6ff8af01672745fbf46462d01a688e2d6408e23e2676,RESTRICTED_PRESIGNATURE_CONTROL,NOT_RELEASED,Need-to-know; NOT FOR SIGNATURE / NOT TRANSMITTED / DO NOT PUBLISH.
06_READINESS/GLOBAL_PRESENTATION_READINESS_REGISTER_2026-09-01.csv,402320,bab1aea3dd6fef2aee444500701c9b16dc1a300ab6ae5b9ee6ed09c6dbb74b1e,PRESENTATION_READINESS_CONTROL,NOT_RELEASED,Internal control; derived presentation tier does not create release approval.
06_READINESS/GLOBAL_PRESENTATION_READINESS_SUMMARY_2026-09-01.csv,1863,ce690559502cd208661d137b68e4c646f697d590a3f30c6dbdb8afc4c2aabff0,PRESENTATION_READINESS_CONTROL,NOT_RELEASED,Internal control; derived presentation tier does not create release approval.
