file_id,source_path,logical_document_id,title,source_cluster,document_role,authority_disposition,canonical_or_superseded_status,content_authority,evidence_status,conflict_or_limitation,required_action,owner,classification,revision,source_sha256,source_size_bytes,third_party_original,gate,review_status
ZIP-0213,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/08_LEGAL_AND_CORPORATE/supplier_contracts/LEG-SUP-004_EMOPET_MOKO_Power_Of_Attorney.docx,,LEG-SUP-004_EMOPET_MOKO_Power_Of_Attorney,MOKO LEGAL WORKING MASTERS,UNSIGNED OR BRANDED WORKING MASTER,HISTORICAL WORKING MASTER / SUPERSEDED FOR EXECUTION EVIDENCE,PRESERVE FOR LINEAGE / NOT EXECUTED,Preserves drafting-stage content only.,STATIC SOURCE PRESENT / EXECUTION EVIDENCE ABSENT,"Must not be presented as signed, transmitted or legally effective.",Preserve unchanged; use the executed original for document-state evidence.,Founder — EMOPET / Supplier Governance,PARTNER CONFIDENTIAL HANDLING — SOURCE CLASSIFICATION NOT STATED,1,c4066ab5443ee26993da3e179f804369e7f7582c5f01af93d35b15964f3bea02,12296,False,OPEN-LEGAL-B5-001,BATCH 6 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0214,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/08_LEGAL_AND_CORPORATE/supplier_contracts/LEG-SUP-005_EMOPET_MOKO_Power_Of_Attorney_EN_CN_Executed.pdf,,LEG-SUP-005_EMOPET_MOKO_Power_Of_Attorney_EN_CN_Executed,MOKO LEGAL ORIGINAL,EXECUTED POWER-OF-ATTORNEY ORIGINAL,IMMUTABLE CURRENT LEGAL-LINEAGE ORIGINAL,THIRD-PARTY ORIGINAL / BYTE PRESERVATION REQUIRED,Evidences the exact signed/stamped document artifact only.,MEASURED DOCUMENT CUSTODY / LEGAL EFFECT NOT ASSESSED,"Document presence is not a legal opinion, current registry verification or work authorisation.",Preserve byte-for-byte and keep separate from EMOPET-generated publications.,Founder — EMOPET / Supplier Governance,PARTNER CONFIDENTIAL HANDLING — SOURCE CLASSIFICATION NOT STATED,SOURCE REVISION NOT STATED / NOT VERIFIED,d426978b1013b7b00c73c4e02bc94759b9ada1a287efb135029f2b85d9ccac33,525887,True,OPEN-LEGAL-B5-001; MOKO PREPARED_NOT_SENT,BATCH 6 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0215,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/08_LEGAL_AND_CORPORATE/supplier_contracts/LEG-SUP-006_EMOPET_MOKO_Power_Of_Attorney_EN_CN_Branded.docx,,LEG-SUP-006_EMOPET_MOKO_Power_Of_Attorney_EN_CN_Branded,MOKO LEGAL WORKING MASTERS,UNSIGNED OR BRANDED WORKING MASTER,HISTORICAL WORKING MASTER / SUPERSEDED FOR EXECUTION EVIDENCE,PRESERVE FOR LINEAGE / NOT EXECUTED,Preserves drafting-stage content only.,STATIC SOURCE PRESENT / EXECUTION EVIDENCE ABSENT,"Must not be presented as signed, transmitted or legally effective.",Preserve unchanged; use the executed original for document-state evidence.,Founder — EMOPET / Supplier Governance,PARTNER CONFIDENTIAL HANDLING — SOURCE CLASSIFICATION NOT STATED,1,c4066ab5443ee26993da3e179f804369e7f7582c5f01af93d35b15964f3bea02,12296,False,OPEN-LEGAL-B5-001,BATCH 6 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0220,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/09_SUPPLIERS_AND_INDUSTRIALISATION/SUP-MOKO-001_EMOPET_MOKO_Technical_Disclosure_Maturity.docx,SUP-MOKO-001,SUP-MOKO-001_EMOPET_MOKO_Technical_Disclosure_Maturity,MOKO HISTORICAL PREDECESSOR,PRE-r1.6 SUPPLIER / RELEASE INPUT,HISTORICAL OR SUPERSEDED MOKO INPUT,PRESERVE FOR LINEAGE / r1.6 GOVERNS CURRENT CONTENT,Provides historical supplier-safe scope or maturity context only.,STATIC SOURCE CUSTODY / CURRENT RELEASE AUTHORITY SUPERSEDED,"Does not establish current r1.6 content, transmission, quotation, manufacturing or final publication.",Preserve unchanged and map only as a predecessor to the exact r1.6 authority.,Founder — EMOPET / Supplier Governance,PARTNER,2.1,a7ef8420ce05719028f20a9352cd01c64b992a97e9bae224ca2f758f50c3af62,54091,False,MOKO PREPARED_NOT_SENT; OPEN-DOC-005,BATCH 6 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0221,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/09_SUPPLIERS_AND_INDUSTRIALISATION/SUP-MOKO-001_EMOPET_MOKO_Technical_Disclosure_Maturity_r2.1.pdf,,MOKO_TECHNICAL_DISCLOSURE_MATURITY_v2.1,MOKO HISTORICAL PREDECESSOR,PRE-r1.6 SUPPLIER / RELEASE INPUT,HISTORICAL OR SUPERSEDED MOKO INPUT,PRESERVE FOR LINEAGE / r1.6 GOVERNS CURRENT CONTENT,Provides historical supplier-safe scope or maturity context only.,STATIC SOURCE CUSTODY / CURRENT RELEASE AUTHORITY SUPERSEDED,"Does not establish current r1.6 content, transmission, quotation, manufacturing or final publication.",Preserve unchanged and map only as a predecessor to the exact r1.6 authority.,Founder — EMOPET / Supplier Governance,PARTNER CONFIDENTIAL HANDLING — SOURCE CLASSIFICATION NOT STATED,SOURCE REVISION NOT STATED / NOT VERIFIED,4d5b8b9e932c08afc18d2298035d4a01edee273a5876631f9ea0ccf67596c60b,140065,False,MOKO PREPARED_NOT_SENT; OPEN-DOC-005,BATCH 6 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0222,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/09_SUPPLIERS_AND_INDUSTRIALISATION/SUP-MOKO-002_EMOPET_MOKO_Execution_Status_2026-08.docx,SUP-MOKO-002,SUP-MOKO-002_EMOPET_MOKO_Execution_Status_2026-08,MOKO HISTORICAL PREDECESSOR,PRE-r1.6 SUPPLIER / RELEASE INPUT,HISTORICAL OR SUPERSEDED MOKO INPUT,PRESERVE FOR LINEAGE / r1.6 GOVERNS CURRENT CONTENT,Provides historical supplier-safe scope or maturity context only.,STATIC SOURCE CUSTODY / CURRENT RELEASE AUTHORITY SUPERSEDED,"Does not establish current r1.6 content, transmission, quotation, manufacturing or final publication.",Preserve unchanged and map only as a predecessor to the exact r1.6 authority.,Founder — EMOPET / Supplier Governance,PARTNER,1.0,7f883fa1631158ae3775514e0ccd478b2eb5896e2e2be464f46cef7f53fc2247,54033,False,MOKO PREPARED_NOT_SENT; OPEN-DOC-005,BATCH 6 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0223,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/09_SUPPLIERS_AND_INDUSTRIALISATION/SUP-MOKO-002_EMOPET_MOKO_Execution_Status_2026-08_r1.0.pdf,,MOKO_EXECUTION_STATUS_2026-08-07,MOKO HISTORICAL PREDECESSOR,PRE-r1.6 SUPPLIER / RELEASE INPUT,HISTORICAL OR SUPERSEDED MOKO INPUT,PRESERVE FOR LINEAGE / r1.6 GOVERNS CURRENT CONTENT,Provides historical supplier-safe scope or maturity context only.,STATIC SOURCE CUSTODY / CURRENT RELEASE AUTHORITY SUPERSEDED,"Does not establish current r1.6 content, transmission, quotation, manufacturing or final publication.",Preserve unchanged and map only as a predecessor to the exact r1.6 authority.,Founder — EMOPET / Supplier Governance,PARTNER CONFIDENTIAL HANDLING — SOURCE CLASSIFICATION NOT STATED,SOURCE REVISION NOT STATED / NOT VERIFIED,cd46d59601ae03bd4b5eb6f7e3c04f008c9abeccfbbf95b8744fc30ed456ac8f,121465,False,MOKO PREPARED_NOT_SENT; OPEN-DOC-005,BATCH 6 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0224,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/09_SUPPLIERS_AND_INDUSTRIALISATION/SUP-MOKO-003_EMOPET_MAT_Phase0_Supplier_Safe_RFQ.docx,SUP-MOKO-003,SUP-MOKO-003_EMOPET_MAT_Phase0_Supplier_Safe_RFQ,MOKO HISTORICAL PREDECESSOR,PRE-r1.6 SUPPLIER / RELEASE INPUT,HISTORICAL OR SUPERSEDED MOKO INPUT,PRESERVE FOR LINEAGE / r1.6 GOVERNS CURRENT CONTENT,Provides historical supplier-safe scope or maturity context only.,STATIC SOURCE CUSTODY / CURRENT RELEASE AUTHORITY SUPERSEDED,"Does not establish current r1.6 content, transmission, quotation, manufacturing or final publication.",Preserve unchanged and map only as a predecessor to the exact r1.6 authority.,Founder — EMOPET / Supplier Governance,PARTNER,0.6,d63c65607949099bd9ba96954ebb30605a59c24f3daa7569785202fcd754ec38,43510,False,MOKO PREPARED_NOT_SENT; OPEN-DOC-005,BATCH 6 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0225,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/09_SUPPLIERS_AND_INDUSTRIALISATION/SUP-MOKO-004_EMOPET_Phase0_MOKO_Package_2026-08_r1.1.zip,,SUP-MOKO-004_EMOPET_Phase0_MOKO_Package_2026-08_r1.1,MOKO HISTORICAL PREDECESSOR,PRE-r1.6 SUPPLIER / RELEASE INPUT,HISTORICAL OR SUPERSEDED MOKO INPUT,PRESERVE FOR LINEAGE / r1.6 GOVERNS CURRENT CONTENT,Provides historical supplier-safe scope or maturity context only.,STATIC SOURCE CUSTODY / CURRENT RELEASE AUTHORITY SUPERSEDED,"Does not establish current r1.6 content, transmission, quotation, manufacturing or final publication.",Preserve unchanged and map only as a predecessor to the exact r1.6 authority.,Founder — EMOPET / Supplier Governance,PARTNER CONFIDENTIAL HANDLING — SOURCE CLASSIFICATION NOT STATED,SOURCE REVISION NOT STATED / NOT VERIFIED,3cd32a3d6d2928d57bbef35700c1ad30b88f84de015cd8d1e94f62bea25f2cc6,3550036,False,MOKO PREPARED_NOT_SENT; OPEN-DOC-005,BATCH 6 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0368,03_PARTNER_RELEASES/MOKO/CURRENT_r1.4/EMAIL_MOKO_r1.4_FINAL_REVIEW.txt,,EMAIL_MOKO_r1.4_FINAL_REVIEW,MOKO COMMUNICATION DRAFT,DRAFT EMAIL TEXT,HISTORICAL COMMUNICATION DRAFT / NOT TRANSMISSION EVIDENCE,PRESERVE AS DRAFT / NOT SENT,Controls draft wording only.,CONTROLLED_INTERNAL / SEND EVENT NOT ESTABLISHED,"Text presence does not prove recipient, send time, delivery or exact attachments.",Retain; attach an authorised send record only if an actual transmission occurs.,Founder — EMOPET / Supplier Governance,PARTNER CONFIDENTIAL HANDLING — SOURCE CLASSIFICATION NOT STATED,SOURCE REVISION NOT STATED / NOT VERIFIED,6cfb16ba0e675929dc90b6fbfafd6b1db562fa8979dc45c91122b61250880dae,2365,False,MOKO TRANSMISSION OPEN / PREPARED_NOT_SENT,BATCH 6 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
