file_id,source_path,logical_document_id,title,source_cluster,document_role,authority_disposition,canonical_or_superseded_status,product_membership_authority,content_authority,evidence_status,conflict_or_limitation,required_action,owner,classification,revision,source_sha256,source_size_bytes,third_party_original,review_status
ZIP-0198,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/07_BUSINESS_AND_FINANCE/FIN-001_EMOPET_Financial_Decisions.docx,FIN-001,FIN-001_EMOPET_Financial_Decisions,FINANCIAL CONTROL,INTERNAL FINANCIAL DECISION POLICY,CURRENT FOR INTERNAL COST CATEGORIES AND DECISION BOUNDARIES,CURRENT CONTROLLED INTERNAL FINANCE POLICY / NOT A FINANCIAL ACTUAL,NOT PRODUCT AUTHORITY — CURRENT CONTROLLED PRODUCT AUTHORITIES GOVERN PRODUCT MEMBERSHIP,"Controls internal budget categories, exclusions and decision boundaries only.","CONTROLLED_INTERNAL / QUOTES, ACTUALS, FUNDING AND SPEND AUTHORISATION SEPARATE","Does not evidence supplier pricing, cash, accounting actuals, funding award or authorised spend.","Retain; reconcile each material amount to a dated quote, invoice, accounting record or official programme source before external use.",Founder — EMOPET / Finance,CONFIDENTIAL,3.0,8d0391a5caaed7351bdd011a7e43e6a6df86dc0237cd164ea423d077231e0faf,39438,False,BATCH 5 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0199,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/07_BUSINESS_AND_FINANCE/FIN-002_EMOPET_Financial_View_2026.docx,FIN-002,FIN-002_EMOPET_Financial_View_2026,FINANCIAL MODEL,DATED CLOUD AND COST PLANNING MODEL,SUPPORTING DATED MODEL / FIN-001 AND FIN-003 GOVERN FREEZE STATUS,CURRENT DATED PLANNING MODEL WITH SOURCE-REFRESH AND VISUAL LIMITATIONS,NOT PRODUCT AUTHORITY — CURRENT CONTROLLED PRODUCT AUTHORITIES GOVERN PRODUCT MEMBERSHIP,Supports the 2026 internal cloud scenarios and arithmetic; FIN-003 governs the active budget-freeze values.,CONTROLLED_INTERNAL / VENDOR PRICE REFRESH AND ACTUALS OPEN,Public/vendor rates are dated and incomplete; a Unity caveat has a source rendering defect on page 4.,Preserve source; refresh exact prices before commitment and correct only in a new controlled revision.,Founder — EMOPET / Finance,CONFIDENTIAL,1.0,00af654a74f92a6714c6c4e40247cd443cbf03757d0832b1dfaff7e7e172bb55,60069,False,BATCH 5 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0200,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/07_BUSINESS_AND_FINANCE/FIN-003_EMOPET_Cost_Freeze_Register.docx,FIN-003,FIN-003_EMOPET_Cost_Freeze_Register,FINANCIAL CONTROL,INTERNAL COST FREEZE REGISTER,CURRENT FOR INTERNAL BUDGET-FREEZE VALUES AND REVIEW TRIGGERS,CURRENT CONTROLLED INTERNAL COST REGISTER / NOT QUOTE OR SPEND AUTHORITY,NOT PRODUCT AUTHORITY — CURRENT CONTROLLED PRODUCT AUTHORITIES GOVERN PRODUCT MEMBERSHIP,Governs the internal frozen cloud planning values and explicit quote-required categories.,"CONTROLLED_INTERNAL / PRICE, ACTUAL AND COMMITMENT EVIDENCE OPEN","Budget-frozen means planning control, not supplier quote, invoice, cash availability or approval to spend.",Retain; refresh quoted categories and record founder approval before any commitment.,Founder — EMOPET / Finance,CONFIDENTIAL,1.0,74b5c86449195f698950e74692ac94825945a52c354b1fbf040461bcc30ddf45,55031,False,BATCH 5 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0201,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/07_BUSINESS_AND_FINANCE/FIN-004_EMOPET_Bretagne_AudeLor_Funding_Roadmap.docx,FIN-004,FIN-004_EMOPET_Bretagne_AudeLor_Funding_Roadmap,PUBLIC FUNDING,CONTROLLED FUNDING STRATEGY SNAPSHOT,CURRENT INTERNAL ROADMAP / OFFICIAL PROGRAMME SOURCES GOVERN TERMS,"CURRENT STRATEGY SNAPSHOT / EMOPET ELIGIBILITY, APPLICATION AND AWARD OPEN",NOT PRODUCT AUTHORITY — CURRENT CONTROLLED PRODUCT AUTHORITIES GOVERN PRODUCT MEMBERSHIP,Structures the funding sequence; official programme pages govern general terms and AudéLor must confirm EMOPET-specific treatment.,OFFICIAL TERMS PARTIALLY VERIFIED / EMOPET-SPECIFIC EVIDENCE OPEN,"No eligibility, application, committee slot, award, cumulation or eligible-expense validation is established.","Obtain dated AudéLor confirmation before incorporation timing, commitment, submission or funding representation.",Founder — EMOPET / Finance,CONFIDENTIAL,1.0,6bc592f5d0460a68dfe55efc7b194f0a91cb5befb5b85533c31767ec1d07ae67,59533,False,BATCH 5 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0202,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/07_BUSINESS_AND_FINANCE/FIN-005_EMOPET_AudeLor_Emergys_First_Meeting_Memo.docx,FIN-005,FIN-005_EMOPET_AudeLor_Emergys_First_Meeting_Memo,PUBLIC FUNDING,FIRST-MEETING PREPARATION MEMO,PREPARATION AID ONLY / NOT MEETING OR ELIGIBILITY EVIDENCE,SUPPORTING PREPARATION MEMO / PRODUCT-SCOPE WORDING PARTIALLY SUPERSEDED,NOT PRODUCT AUTHORITY — CURRENT CONTROLLED PRODUCT AUTHORITIES GOVERN PRODUCT MEMBERSHIP,Controls meeting-preparation questions only; later Product authorities govern Product membership.,CONTROLLED_INTERNAL / MEETING OCCURRENCE AND ADVICE NOT ESTABLISHED,The file does not prove a meeting occurred or that AudéLor confirmed any rule; product-scope wording is limited by SUPR-015.,Preserve; attach actual meeting minutes or written AudéLor response if received.,Founder — EMOPET / Finance,PARTNER,2.0,3ab520bff2ddee9c51eb4cab58f5e0e2f63afc36689d2a1dac717b519a54e9cd,39166,False,BATCH 5 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0203,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/07_BUSINESS_AND_FINANCE/FIN-006_EMOPET_Financial_Source_Snapshot_2026-08.docx,FIN-006,FIN-006_EMOPET_Financial_Source_Snapshot_2026-08,FINANCIAL SOURCES,DATED EXTERNAL-SOURCE INDEX,NON-NORMATIVE SOURCE INDEX,DATED SUPPORTING SOURCE SNAPSHOT / CLAIM-LEVEL VERIFICATION REQUIRED,NOT PRODUCT AUTHORITY — CURRENT CONTROLLED PRODUCT AUTHORITIES GOVERN PRODUCT MEMBERSHIP,Identifies candidate external sources; it does not itself govern programme terms or vendor rates.,SOURCE INDEX / CLAIM-LEVEL RECONCILIATION PARTIAL,"URL presence does not prove the cited claim, date, availability or EMOPET eligibility.",Use the claim/source registers; refresh each material source before publication or decision.,Document Control / Finance,CONFIDENTIAL,1.0,eefe53c7b4765b4edc90f54956fb952802b783799666c7d862254ed6136950a9,56663,False,BATCH 5 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0204,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/08_LEGAL_AND_CORPORATE/LEG-001_EMOPET_Cap_Table_And_Voting_Control_Model.docx,LEG-001,LEG-001_EMOPET_Cap_Table_And_Voting_Control_Model,CORPORATE GOVERNANCE,INTERNAL CAP TABLE AND VOTING MODEL,CURRENT INTERNAL SCENARIO MODEL / COUNSEL AND CORPORATE ACTS REQUIRED,CONTROLLED INTERNAL MODEL / NOT VALUATION OR LEGAL INSTRUMENT,NOT PRODUCT AUTHORITY — CURRENT CONTROLLED PRODUCT AUTHORITIES GOVERN PRODUCT MEMBERSHIP,Records founder-control scenarios and arithmetic for counsel review.,"CONTROLLED_INTERNAL / CORPORATE FORMATION, VALUATION AND ISSUANCE EVIDENCE OPEN","Worked examples do not establish a valuation, issued securities, voting rights or legal effectiveness.","Reconcile with counsel-approved articles, shareholder agreement, cap table and executed corporate records.",Founder — EMOPET / Legal Counsel,RESTRICTED,1.0,509f3442ef6d614c694edf950be65014dbfccd78becf465ad82ff9d68f4ad113,55254,False,BATCH 5 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0205,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/08_LEGAL_AND_CORPORATE/LEG-002_EMOPET_Founder_Control_Doctrine.docx,LEG-002,LEG-002_EMOPET_Founder_Control_Doctrine,CORPORATE GOVERNANCE,FOUNDER CONTROL INTENT,CURRENT FOUNDER INTENT / NOT SELF-EXECUTING LAW OR CORPORATE ACT,CONTROLLED INTERNAL GOVERNANCE DOCTRINE / COUNSEL DRAFTING REQUIRED,NOT PRODUCT AUTHORITY — CURRENT CONTROLLED PRODUCT AUTHORITIES GOVERN PRODUCT MEMBERSHIP,Governs founder negotiation intent and guardrails pending legal drafting.,CONTROLLED_INTERNAL / COUNSEL-APPROVED IMPLEMENTATION OPEN,"Intent does not create enforceable rights, issued securities or completed governance instruments.",Translate through counsel into jurisdiction-appropriate documents and record explicit founder approval.,Founder — EMOPET / Legal Counsel,RESTRICTED,1.0,f97fd48a3dcd6e0abe254e6fbc5b5d54fdf534cdcbc39ac17fb53d34feed2629,55632,False,BATCH 5 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0206,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/08_LEGAL_AND_CORPORATE/LEG-003_EMOPET_Governance_Drafting_Points_For_Counsel.docx,LEG-003,LEG-003_EMOPET_Governance_Drafting_Points_For_Counsel,CORPORATE GOVERNANCE,COUNSEL DRAFTING INSTRUCTION SHEET,CONTROLLED INSTRUCTION TO COUNSEL / NOT LEGAL ADVICE OR INSTRUMENT,CURRENT DRAFTING INPUT / COUNSEL OUTPUT ABSENT,NOT PRODUCT AUTHORITY — CURRENT CONTROLLED PRODUCT AUTHORITIES GOVERN PRODUCT MEMBERSHIP,Defines points for legal counsel to assess and draft.,CONTROLLED_INTERNAL / COUNSEL REVIEW AND EXECUTED DOCUMENTS OPEN,"No counsel conclusion, jurisdictional analysis or approved drafting is evidenced.",Obtain written counsel advice and controlled final instruments; preserve questions and unresolved points.,Founder — EMOPET / Legal Counsel,RESTRICTED,1.0,cd3628a1df253c26ce572511e489cfb52f61825cd1adf764913ceca623ad9da7,54536,False,BATCH 5 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
ZIP-0207,01_BASELINE_THROUGH_2026-08-24_1938Z/EMOPET_BASELINE_v3.0_CONTROLLED/08_LEGAL_AND_CORPORATE/LEG-004_EMOPET_Investor_Term_Sheet_Guardrails.docx,LEG-004,LEG-004_EMOPET_Investor_Term_Sheet_Guardrails,INVESTMENT GOVERNANCE,INTERNAL TERM-SHEET NEGOTIATION GUARDRAILS,CURRENT INTERNAL NEGOTIATION GUARDRAILS / COUNSEL REVIEW REQUIRED,"CONTROLLED INTERNAL GUARDRAILS / NOT OFFER, TERM SHEET OR LEGAL ADVICE",NOT PRODUCT AUTHORITY — CURRENT CONTROLLED PRODUCT AUTHORITIES GOVERN PRODUCT MEMBERSHIP,Governs internal negotiating boundaries pending a specific transaction and counsel review.,CONTROLLED_INTERNAL / TRANSACTION AND LEGAL EVIDENCE OPEN,"No financing offer, valuation, investor commitment or enforceability is established.","Apply only through a transaction-specific, counsel-reviewed approval process.",Founder — EMOPET / Legal Counsel,RESTRICTED,1.0,65fe94437b380038c8c869dc5fedfc8a223dda639b29196ebad8a3d33fbcfd68,55663,False,BATCH 5 AUTHORITY / EVIDENCE RECONCILED — NOT RELEASED
