claim_id,document_id,claim,evidence_status,conflict_status,source_id,internal_evidence_id,notes
CLM-B2-MAT-001,ENG-003; MAT_CURRENT_STATE_RevA2R1,"The controlled MAT Phase 0 bench baselines are PCA10056/nRF52840 DK, ADS131M04 and ADS1261; implementation and physical validation remain open.",CONTROLLED_INTERNAL,OPEN IMPLEMENTATION / PHYSICAL VALIDATION,SRC-INT-0002,OPEN-ENG-005,Phase 0 baseline is not Product V1 or manufacturing selection.
CLM-B2-MAT-002,ENG-003; MAT_CURRENT_STATE_RevA2R1,ADS1261 is the controlled Phase 0 load-cell interface baseline; ADS1220 remains an alternative and is not the current baseline.,CONTROLLED_INTERNAL,PHYSICAL / METROLOGY GATE OPEN,SRC-INT-0002; SRC-EXT-0907; SRC-EXT-LIVE-0022,OPEN-ENGMAT002-O-007,Manufacturer sources confirm devices only; EMOPET status comes from controlled internal authority.
CLM-B2-MAT-004,ENG-003; MAT_CURRENT_STATE_RevA2R1,"ADA4530-1 is a preferred candidate / TO VALIDATE, not a selected or validated EMOPET AFE; OPA2140 remains historical comparison context.",CONTROLLED_INTERNAL,OPEN — CABLE / BIAS / NOISE / PHYSICAL VALIDATION,SRC-INT-0002; SRC-EXT-0589,OPEN-ENG003-O-006,Recommended-for-new-designs manufacturer status is not an EMOPET selection.
CLM-B2-MAT-005,MAT_CURRENT_STATE_RevA2R1,Approximately 1.35 V is the current candidate VBIAS with 1.25 V retained as an alternative; neither value is physically validated by this reconciliation.,CONTROLLED_INTERNAL,OPEN — VALIDATION REQUIRED,SRC-INT-0002,OPEN-ENG-005,"No resistor stack, bias point or dynamic range is approved for production."
CLM-B2-MAT-006,ENG-MAT-004; ENG-003,"Static ECAD reconciliation passes within its measured scope, while native KiCad open/refill/DRC/cross-plot/connectivity/footprint review and sign-off remain open.",MEASURED_INTERNAL,PARTIAL — STATIC PASS / NATIVE OPEN,SRC-INT-0002,OPEN-ENG003-O-041,"Static pass is not Gerber, manufacturing or native-tool approval."
CLM-B2-MAT-007,ENG-MAT-003; ENG-MAT-005,No MAT Gerber or manufacturing release is authorized.,CONTROLLED_INTERNAL,OPEN / NOT AUTHORIZED,SRC-INT-0002,OPEN-ENG-005,"RFQ, repository, CAD or static-validation status cannot create release authority."
CLM-B2-MAT-008,ENG-003; ENG-MAT-002,"Exact piezo cable identity, load-cell electrical identity, AFE characterization and controlled bench evidence remain unavailable or unapproved.",EVIDENCE_PENDING,OPEN,SRC-INT-0002,OPEN-VAL-B2-001,"No physical conclusion is inferred from CAD, source availability or planned tests."
CLM-B2-MAT-011,MAT Controller v0.4,v0.4 verification records cover document/software/synthetic controls; physical bench evidence was unavailable and is not established by this checkpoint.,EVIDENCE_PENDING,OPEN — PHYSICAL EVIDENCE ABSENT,SRC-INT-0002,OPEN-VAL-B2-001,Synthetic validity and source integrity are retained without promotion.
CLM-B2-TAG-001,Work Master Prompt; r1.6 authority,"Autonomous TAG position acquisition for V1 recovery is REQUIRED — CONTROLLED; exact GNSS/module, antenna, provider and implementation remain open.",CONTROLLED_INTERNAL,FUNCTION CONTROLLED / IMPLEMENTATION OPEN,SRC-INT-0001; SRC-INT-FOUND-0005,OPEN-ENG-001; OPEN-ENG-002; OPEN-ENG-003,Requirement control does not establish implementation or performance.
CLM-B2-TAG-003,TAG nRF9151 source capture,"Nordic's current nRF9151 specification confirms device capabilities and radio power classes, but does not select nRF9151 or establish EMOPET autonomy.",MANUFACTURER_VERIFIED,CANDIDATE / PROVIDER / ANTENNA / POWER OPEN,SRC-EXT-LIVE-0023,OPEN-ENG-002,Use only as source/model input; exact design and measured duty cycles remain open.
CLM-B2-TAG-004,TAG GNSS source gate,"u-blox identifies MAX-M10S within the MAX-M10 family; this confirms a current candidate source, not an EMOPET selection or RF/autonomy result.",MANUFACTURER_VERIFIED,TO SELECT / RF VALIDATION OPEN,SRC-EXT-LIVE-0024,OPEN-ENG-001; OPEN-ENG-003,"Exact module revision, antenna, integration, TTFF, duty cycle and physical performance remain open."
CLM-B2-TAG-005,OPEN-ENG-004,No TAG battery is selected; generic 602030 quantitative assumptions are prohibited for final Phase 2/autonomy conclusions.,CONTROLLED_INTERNAL,OPEN — NO BATTERY SELECTED,SRC-INT-0001; SRC-INT-0002,OPEN-ENG-004,Candidate source data must remain separate from controlled selection.
CLM-B2-TAG-006,BATTERY_LP602030HA_SOURCE_RECHECK,"EEMB's page confirms LP602030HA 3.7 V, 260 mAh typical, 230 mAh minimum and 10C classification, but exact controlled continuous/pulse-current and system compatibility evidence remains unavailable.",SOURCE_NOT_RECONCILED,OPEN — EXACT CURRENT/PROTECTION/LOT EVIDENCE,SRC-EXT-0641,OPEN-ENG-004,Do not convert 10C marketing classification into a selected-cell current limit without the required controlled evidence.
