open_gate_id,native_item_id,category,title,status,severity_priority,owner,evidence_required,next_action,authority_source,active_count,close_authority,notes
OPEN-DOC-001,,OPEN-DOC,Visual authority conflict,CLOSED BY FOUNDER BRAND DECISION,CLOSED,Founder — EMOPET,SATISFIED — BRAND-AUTHORITY-001,Build and QA v2 pilot; do not hybridize; preserve legacy sources.,BRAND-AUTHORITY-001; EMOPET_Charte_Graphique_v2.html,NO,Founder — EMOPET / BRAND-AUTHORITY-001,Founder-controlled visual authority established; legacy systems preserved as historical/superseded.
OPEN-DOC-002,,OPEN-DOC,Source release-control manifest hash mismatch,CLOSED FOR DIAGNOSIS / OPEN FOR NEXT-RELEASE REMEDIATION,CRITICAL — NEXT RELEASE,Document Control,New manifest and SHA256SUMS generated only after final remediated files are frozen; 100% verification pass.,Preserve source ZIP unchanged; generate fresh release-control artifacts only at end of next controlled release pipeline.,RELEASE-CONTROL-001; source GLOBAL_MANIFEST.csv; source SHA256SUMS.txt,YES — NEXT RELEASE ONLY,Final release-control verification + controlled approval,Original package remains immutable and is not release-ready; diagnosis is complete.
OPEN-DOC-003,,OPEN-DOC,Drive-to-ZIP binary lineage incomplete,OPEN,HIGH,Document Control,Materialized Drive binaries or authoritative export metadata and hashes,Resolve 13 filename candidates and then map remaining high-priority controlled authorities by content/ID.,00_INVENTORY/DRIVE_ZIP_CROSSWALK.csv,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,
OPEN-DOC-004,,OPEN-DOC,Human owners/reviewers/approvers incomplete,OPEN,MEDIUM,Founder / Executive,Approved role-to-person responsibility matrix,Instantiate human owners where required; retain functional owners until then.,MASTER_GLOBAL_DOCUMENT_INVENTORY.csv; COR-006 EX-008,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,
OPEN-SOURCE-001,,OPEN-SOURCE,Harris Williams 85% owner statistic,SOURCE_NOT_RECONCILED,HIGH,Product Research,Exact primary report/page/methodology,Locate the primary source or remove the statistic from publishable claims.,04_RESEARCH_AND_EVIDENCE/DEEP_RESEARCH/EMOPET_GLOBAL_DOCUMENTATION_DEEP_RESEARCH_2026-08-25.md,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,"Targeted official-source searches on 2026-08-26 did not locate primary support for the alleged 85% statistic. Do not publish; retain SOURCE_NOT_RECONCILED until the exact primary report, methodology and wording are available."
OPEN-PRODUCT-001,,OPEN-PRODUCT,Observation doctrine controlled integration,DRAFT / DECISION REQUIRED,HIGH,Product,Approved OBS-001..OBS-007 document set with explicit scientific maturity,Review the draft evidence direction and authorize controlled product-doctrine documents without claiming scientific validation.,04_RESEARCH_AND_EVIDENCE/PRODUCT_OBSERVATION/OBS-006_EMOPET_Competitor_Owner_Evidence_Review_DRAFT.md,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,"Batch 1 owner, competitor, scientific-limitation and privacy evidence was enriched on 2026-08-26. OBS materials remain DRAFT / DECISION REQUIRED and are not scientifically validated or promoted to controlled doctrine by this evidence pass."
OPEN-ENG-001,,OPEN-ENG,Exact GNSS implementation/module,TO SELECT,CRITICAL,Product / Hardware / RF,"Exact manufacturer source, lifecycle, electrical/RF/mechanical evidence and controlled selection decision",Preserve L76K / MAX-M10S statuses; select nothing by inference.,WORK MASTER PROMPT; controlled TAG baseline,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,
OPEN-ENG-002,,OPEN-ENG,Wide-area technology,TO SELECT,CRITICAL,Product / Hardware / Connectivity,"Controlled requirement, coverage/power/certification evidence and architecture decision",Preserve nRF9151 candidate and BG95 HOLD statuses; close only by controlled decision.,WORK MASTER PROMPT; controlled TAG baseline,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,
OPEN-ENG-003,,OPEN-ENG,GNSS antenna and RF design,TO SELECT / RF DESIGN INPUT / TO VERIFY,CRITICAL,RF Engineering,"Exact antenna source, layout/keep-out/coexistence design and physical RF validation",Create controlled RF input and validation plan after module architecture is selected.,WORK MASTER PROMPT; controlled TAG baseline,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,
OPEN-ENG-004,,OPEN-ENG,Battery B1R selection and autonomy,NO BATTERY SELECTED / EVIDENCE PENDING,CRITICAL,Power Engineering / Product,"Exact cell source, verified current limits, protection, transport, measured per-state currents and controlled duty cycles",Do not use generic 602030 quantitative assumptions or claim final autonomy.,WORK MASTER PROMPT; controlled battery review,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,
OPEN-ENG-005,,OPEN-ENG,MAT Rev A.2R1 physical and AFE closure,OPEN / NOT A MANUFACTURING RELEASE,CRITICAL,Hardware Engineering,"High-Z, clamp, exact cable/source, AFE/gain/filtering characterization and physical validation evidence",Execute and sign controlled validation; do not treat repository presence as design freeze.,WORK MASTER PROMPT; MAT Rev A.2R1,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,
OPEN-ENG-006,,OPEN-ENG,IP67 achievement,NOT VERIFIED,CRITICAL,Mechanical / Validation / Regulatory,Controlled design evidence and applicable physical ingress testing,Retain IP67 as a target/requirement only where controlled; do not claim achievement.,WORK MASTER PROMPT; IEC source reference,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,
OPEN-SUPPLIER-001,,OPEN-SUPPLIER,MOKO r1.6 transmission,PREPARED_NOT_SENT / OPEN,HIGH,Supplier Governance,"Actual approved recipient, purpose, legal framework, exact transmitted file hashes and send record.",Do not backfill transmission. Create the disclosure/transmission record only after an actual authorized send.,"WORK-DELTA-MOKO-001 §§4, 7–9; MOKO-RECON-016",YES,Explicit controlled transmission evidence and approval,r1.4 and r1.5 remain historical/superseded PREPARED_NOT_SENT references; r1.6 is the current candidate and remains not sent.
OPEN-COR006-EX-001,EX-001,OPEN-DOC,Présentation institutionnelle — 3 corrections,OUVERTE,HIGH,Brand,Le fichier source de conception reste indisponible. Les PDF portent PUBLISHED — CORRECTION PENDING SOURCE RECOVERY. Le renommage en BRD-PUB-001/002 ne ferme pas l'exception.,Fournir le fichier source de conception,COR-006 EMOPET Exceptions Register,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without changing source status. May overlap a cross-corpus gate; native ID preserved.
OPEN-COR006-EX-003,EX-003,OPEN-PRODUCT,Empreinte Product V1 du MAT,OUVERTE — CRITIQUE,CRITICAL,Product / Hardware,"AUTORITE DIMENSIONNELLE : 900 x 600 mm = geometrie Phase 0 sourcee par ENG-003 (filiation architecture hybride, ELI v7, Phase 0). Empreinte Product V1 : NOT FROZEN. Les valeurs 1000 x 700 et 1100 x 750 sont HISTORIQUES / VISUELLES / PRE-PRODUCTION, sans aucune autorite dimensionnelle d'ingenierie. Tension de confort : a 900 x 600 mm un chien adulte en pleine extension deborde le couchage, ce qui aggrave la contradiction avec l'exigence d'aire libre.","Décision Product V1 : empreinte finale, confort, couverture de detection, textile, mousse, preuve d'usage, preuve industrielle",COR-006 EMOPET Exceptions Register,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without changing source status. May overlap a cross-corpus gate; native ID preserved.
OPEN-COR006-EX-004,EX-004,OPEN-SW,Périmètre Unity,ROUVERTE,HIGH,Software Engineering,La décision d'archivage est annulée. Statut : ARCHITECTURE CANDIDATE — REVIEW REQUIRED. Neuf actifs récupérés.,Revue technique — voir SW-004,COR-006 EMOPET Exceptions Register,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without changing source status. May overlap a cross-corpus gate; native ID preserved.
OPEN-COR006-EX-006,EX-006,OPEN-SW,Couche temps réel en infrastructure,REQUALIFIÉE,HIGH,Software Engineering,La décision d'archivage est annulée. Statut : ACTIVE ARCHITECTURE CANDIDATE — DORMANT / NOT DEPLOYED BY DEFAULT. Terraform conservé sans modification.,Revue technique — voir SW-004,COR-006 EMOPET Exceptions Register,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without changing source status. May overlap a cross-corpus gate; native ID preserved.
OPEN-COR006-EX-007,EX-007,OPEN-SW,Deux ensembles Terraform,RÉSOLUE — VALIDATION REQUISE,HIGH,Software Engineering,L'analyse établit qu'il ne s'agit pas de deux générations concurrentes mais de deux modules racine liés par une dépendance d'amorçage. Séparés en bootstrap/ et main/. Aucun contenu modifié. MERGE est contre-indiqué.,Approbation technique du fondateur sur la séparation,COR-006 EMOPET Exceptions Register,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without changing source status. May overlap a cross-corpus gate; native ID preserved.
OPEN-COR006-EX-008,EX-008,OPEN-DOC,Propriétaires humains non documentés,OUVERTE — NON BLOQUANTE,HIGH,Founder / Executive,Le système emploie des propriétaires fonctionnels. À instancier lorsque l'équipe grandira.,Aucune décision immédiate,COR-006 EMOPET Exceptions Register,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without changing source status. May overlap a cross-corpus gate; native ID preserved.
OPEN-COR006-EX-010,EX-010,OPEN-PRODUCT,World — rôle expérientiel,OUVERTE — CRITIQUE,CRITICAL,Product,L'architecture technique est documentée ; le rôle dans l'expérience ne l'est pas. Aucune description publique définitive autorisée avant clôture.,Décision produit sur le rôle expérientiel,COR-006 EMOPET Exceptions Register,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without changing source status. May overlap a cross-corpus gate; native ID preserved.
OPEN-COR006-EX-011,EX-011,OPEN-PRODUCT,Expression immersive initiale,OUVERTE,HIGH,Product,"L'immersif est CORE, prévu au lancement, à profondeur initiale contrôlée. L'expression immersive initiale reste TO DEFINE. Aucune dépendance à un autre item ouvert : la question est autonome et relève d'une décision produit sur le contenu de la première expression.","Décision produit : quelle expression immersive initiale, solo, partagée ou hybride",COR-006 EMOPET Exceptions Register,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without changing source status. May overlap a cross-corpus gate; native ID preserved.
OPEN-COR006-EX-012,EX-012,OPEN-PRODUCT,Local Culture Engine — rôle produit,OUVERTE — NON BLOQUANTE,HIGH,Product,Rôle TO CONFIRM par décision du 2026-08-12. Ne pas forcer CORE ou EXTENSION pour clore la matrice.,Évaluation en phase d'analyse ultérieure,COR-006 EMOPET Exceptions Register,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without changing source status. May overlap a cross-corpus gate; native ID preserved.
OPEN-COR006-EX-013,EX-013,OPEN-PRODUCT,Community — seuil d'activation,OUVERTE,HIGH,Product,Gate d'activation réseau formalisé. Aucun seuil numérique inventé. Statut : TO VALIDATE.,Preuve de densité et de capacité de modération,COR-006 EMOPET Exceptions Register,YES,EXPLICIT CONTROLLED APPROVAL / EVIDENCE ONLY,Imported without changing source status. May overlap a cross-corpus gate; native ID preserved.
