claim_id,document_id,claim,evidence_status,conflict_status,source_id,internal_evidence_id,notes
CLM-B5-QA-004,FIN-002,FIN-002 has a genuine source-layout defect in the Unity caveat on rendered page 4 and is not publication-ready.,MEASURED_INTERNAL,OPEN — SOURCE DEFECT PRESERVED,SRC-INT-B5-0002,OPEN-DOC-009,
CLM-B5-FIN-002,FIN-002,"FIN-002 is a dated planning model; the 60/110/250/300 EUR monthly freezes and 3,000 EUR Year-1 reserve remain internal assumptions pending price refresh and actual evidence.",CONTROLLED_INTERNAL,DATED VENDOR INPUTS / REFRESH REQUIRED,SRC-INT-B5-0002,OPEN-SOURCE-010,
CLM-B5-FIN-006,FIN-007,The stated 22 September 2026 committee date and 11 September quote deadline are not established by an official public source or AudéLor confirmation in this checkpoint.,SOURCE_NOT_RECONCILED,OPEN,SRC-INT-B5-0021; SRC-INT-B5-0022; SRC-EXT-0612,OPEN-SOURCE-011,
CLM-B5-FIN-007,FIN-007; NOTE_INTERNE_COMMISSION_EMERGYS,"Labels such as DEMANDÉ, devis demandé, and an internal draft do not prove that an application or quote request was sent or received.",CONTROLLED_INTERNAL / EVENT EVIDENCE ABSENT,UNSUPPORTED EVENT WORDING,SRC-INT-B5-0021; SRC-INT-B5-0022,OPEN-DOC-009,
CLM-B5-FIN-008,FIN-004,"The Bourse French Tech maximum of 30,000 EUR was partially verified from the official Bpifrance listing; detailed timing, eligibility and EMOPET fit remain open.",PARTIALLY_RECONCILED,DETAILED TERMS OPEN,SRC-EXT-0619,OPEN-FIN-B5-001,
CLM-B5-FIN-019,FIN-004; FIN-007,"Official programme availability and general terms do not establish EMOPET eligibility, eligible supplier costs, cumulation, submission, committee acceptance, award or commitment timing.",OPEN,OPEN,SRC-EXT-0620; SRC-EXT-0621; SRC-EXT-0623; SRC-EXT-0625; SRC-EXT-0626; SRC-EXT-0619,OPEN-FIN-B5-001,
CLM-B5-LEG-001,LEG-001 through LEG-006,"LEG-001 through LEG-006 are internal intent, models, instructions, guardrails and checklists; they are not legal advice, counsel-approved instruments or proof of completed legal readiness.",CONTROLLED_INTERNAL,COUNSEL OUTPUT AND COMPLETION EVIDENCE OPEN,SRC-INT-B5-0007; SRC-INT-B5-0008; SRC-INT-B5-0009; SRC-INT-B5-0010; SRC-INT-B5-0011; SRC-INT-B5-0012,OPEN-LEGAL-B5-001,
CLM-B5-LEG-002,LEG-001; LEG-002,"French law provides flexibility for SAS management structures, but exact EMOPET governance rights and drafting require counsel and executed corporate documents.",PRIMARY_OFFICIAL / EMOPET IMPLEMENTATION OPEN,EMOPET-SPECIFIC DRAFTING OPEN,SRC-OFF-B5-0004,OPEN-LEGAL-B5-001,
CLM-B5-LEG-003,LEG-001; LEG-002,"French law permits preference shares with or without voting rights and specific rights, but this does not establish any EMOPET security class or issued right.",PRIMARY_OFFICIAL / EMOPET IMPLEMENTATION OPEN,EMOPET-SPECIFIC DRAFTING OPEN,SRC-OFF-B5-0005,OPEN-LEGAL-B5-001,
CLM-B5-LEG-004,LEG-003,French law allows an SAS articles clause prohibiting transfer for no more than ten years; exact use and drafting require counsel.,PRIMARY_OFFICIAL / EMOPET IMPLEMENTATION OPEN,EMOPET-SPECIFIC DRAFTING OPEN,SRC-OFF-B5-0006,OPEN-LEGAL-B5-001,
CLM-B5-LEG-006,LEG-006,"The internal pre-investment no-sign gate remains open; no counsel-approved articles, shareholders agreement, completed chain of title or investment approval is evidenced.",OPEN,OPEN,SRC-INT-B5-0012,OPEN-LEGAL-B5-001,
CLM-B5-LEG-007,LEG-005,"LEG-005 defines a chain-of-title evidence plan but does not prove assignments, contributor agreements, filings or corporate records are complete.",OPEN,OPEN,SRC-INT-B5-0011,OPEN-LEGAL-B5-001,
CLM-B5-LEG-011,LEG-SUP-002 current,"A visibly counter-signed NNN does not establish legal enforceability, governing-law conclusion, SOW, purchase order, work authorisation, transmission, manufacturing or release.",NOT_ASSESSED,LEGAL EFFECT NOT ASSESSED,SRC-INT-B5-NNN-0001,OPEN-LEGAL-B5-001,
CLM-B5-LEG-013,LEG-SUP-010,"The dated Huachuang business-licence original is preserved, but its presence does not independently establish authenticity, current status, capacity or authority.",SOURCE_PRESENT / CURRENT STATUS OPEN,CURRENT STATUS OPEN,SRC-INT-B5-0019,OPEN-SOURCE-012,
