claim_id,document_id,claim,evidence_status,conflict_status,source_id,internal_evidence_id,notes
CLM-B3-SCI-004,SCI-004,"Breiz is a conversational and explanatory layer; it must not independently infer physiological, emotional or wellbeing state from raw sensor data.",CONTROLLED_INTERNAL,CONTROLLED BOUNDARY / IMPLEMENTATION OPEN,SRC-INT-0002,OPEN-SCI-B1-001,ELI risk classification and implementation remain separate gates.
CLM-B3-LEGAL-001,SCI-004,"European Commission sources confirm that Article 50 transparency obligations apply from 2 August 2026, with a limited Article 50(2) transition for certain systems placed on the market earlier.",REGULATORY_VERIFIED,TIMING VERIFIED / EMOPET APPLICABILITY OPEN,SRC-EXT-LIVE-0007; SRC-EXT-LIVE-0025,OPEN-LEGAL-B1-001,"This does not classify Breiz/ELI, identify EMOPET's legal role or replace qualified legal review."
CLM-B3-SCI-006,SCI-006,"SCI-006 is the controlled canonical ELS concept-layer architecture and defines concept, locale, audience, certainty and local-surface controls.",CONTROLLED_INTERNAL,CONTROLLED ARCHITECTURE / IMPLEMENTATION OPEN,SRC-INT-0002,OPEN-SCI-B1-001,"Controlled architecture does not prove bundle generation, deployment or client adoption."
CLM-B3-SCI-007,SCI-006,"The versioned semantic bundle, cache, fallback and marked-reply behaviour are requirements; no implementation, bundle artifact or client test is available in Batch 3.",EVIDENCE_PENDING,OPEN — IMPLEMENTATION / CLIENT VALIDATION,SRC-INT-0002,OPEN-SCI-B1-001,Keep architecture and implementation maturity distinct.
CLM-B3-SCI-009,SCI-100,The cited primary specification EMOPET-SCI-ELI-001 is not present in the immutable corpus and was not found by exact Drive search.,SOURCE_NOT_RECONCILED,OPEN — EXACT AUTHORITY ABSENT,SRC-INT-0002; SRC-DRIVE-B3-0001; SRC-DRIVE-B3-0002; SRC-DRIVE-B3-0003,OPEN-SOURCE-006,Three similarly named Drive files remain candidates only; none contains the exact cited identifier.
CLM-B3-SCI-010,SCI-100,The cited SCI-BIB-001 bibliography register and claim-to-source mapping are not present in the corpus and were not found by exact Drive search.,SOURCE_NOT_RECONCILED,OPEN — BIBLIOGRAPHY ABSENT,SRC-INT-0002; SRC-DRIVE-B3-0001; SRC-DRIVE-B3-0002; SRC-DRIVE-B3-0003,OPEN-SOURCE-007,No external paper is promoted into the missing controlled bibliography by inference.
CLM-B3-SCI-011,SCI-100,SCI-100 identifies transfer from human affect theory to animals as the strongest dependency and requires review by a domain scientist.,EVIDENCE_PENDING,OPEN — QUALIFIED SCIENTIFIC REVIEW REQUIRED,SRC-INT-0002,OPEN-SCI-B3-001,Literature context does not validate the EMOPET model or outcomes.
CLM-B3-SCI-012,SCI-100,"The activation, valence and cumulative-load state vector is labelled HYPOTHESIS; no implementation, calibrated parameters or dog-study evidence is established.",EVIDENCE_PENDING,OPEN — MODEL / CALIBRATION / VALIDATION,SRC-INT-0002,OPEN-SCI-B3-001,Valence is also declared non-public; none of the model variables is a measured emotional truth.
CLM-B3-SCI-013,SCI-100,The sentence describing reliability weighting as the system's real fusion mechanism overstates maturity because the same document labels the model HYPOTHESIS and proves no implementation.,SOURCE_NOT_RECONCILED,OPEN — WORDING OVERSTATES IMPLEMENTATION,SRC-INT-0002,OPEN-SCI-B3-001,Future revision should say proposed or specified mechanism unless implementation evidence is attached.
CLM-B3-SCI-014,SCI-100,"The statement that EMOPET automates an existing method overstates implementation; comparison to an individual reference is a proposed product rule, not a proven deployed method.",SOURCE_NOT_RECONCILED,OPEN — WORDING OVERSTATES IMPLEMENTATION,SRC-INT-0002,OPEN-SCI-B3-001,Preserve the theoretical foundation while separating specification from implementation.
CLM-B3-SCI-015,SCI-100,"SCI-100's evidence ladder marks hypothesis as attained and bench, canine pilot, replication and public claim as not attained.",CONTROLLED_INTERNAL,OPEN — BENCH / PILOT / REPLICATION / PUBLIC CLAIM,SRC-INT-0002,OPEN-SCI-B3-001,No later formatting or source availability changes these maturity states.
CLM-B3-SCI-016,SCI-100,Owner declarations are contextual evidence only and must never become biological observation or latent-state truth.,CONTROLLED_INTERNAL,CONTROLLED BOUNDARY / IMPLEMENTATION OPEN,SRC-INT-0002,OPEN-SCI-B1-001,This rule must be preserved in any later model and user-explanation design.
CLM-B3-QA-001,SOURCE-SNAPSHOT,The immutable global ZIP passes integrity at SHA-256 f464f159…b376; the local snapshot is 429/430 byte-identical with one BRD-PUB-001 PDF mismatch.,MEASURED_INTERNAL,OPEN — SNAPSHOT DIVERGENCE,SRC-INT-0002,OPEN-DOC-008,The snapshot is not repaired in place; all 19 Batch 3 inputs match the immutable ZIP.
CLM-B3-ENG-002,TAG-NRF9151-SOURCE-R2,R2 supersedes earlier NOT READY wording only for parametric nRF9151 source readiness; it does not select the device or prove final autonomy.,CONTROLLED_INTERNAL,PARTIALLY SUPERSEDED / COMPONENT GATES OPEN,SRC-INT-0002; SRC-EXT-LIVE-0023,SUPR-022,GPS and LTE currents are not blindly additive; system-level measurement remains open.
CLM-B3-ENG-003,ENG-MAT-RFCF-TRADE; TAG-S0-RUN-MATRIX,"The MAT Rf/Cf files remain trade-study input with decision not closed; TAG S0 run matrices are plans, not executed measurements.",EVIDENCE_PENDING,OPEN — DECISION / PHYSICAL MEASUREMENT,SRC-INT-0002,OPEN-VAL-B2-001,"Routed to Batch 2; no component, filter, power or autonomy conclusion is promoted."
