claim_id,document_id,claim,evidence_status,conflict_status,source_id,internal_evidence_id,notes
CLM-B6-0213,ZIP-0213,"HISTORICAL WORKING MASTER / SUPERSEDED FOR EXECUTION EVIDENCE. Must not be presented as signed, transmitted or legally effective.",STATIC SOURCE PRESENT / EXECUTION EVIDENCE ABSENT,"Must not be presented as signed, transmitted or legally effective.",SRC-INT-B6-0005,OPEN-LEGAL-B5-001,Preserve unchanged; use the executed original for document-state evidence.
CLM-B6-0214,ZIP-0214,"IMMUTABLE CURRENT LEGAL-LINEAGE ORIGINAL. Document presence is not a legal opinion, current registry verification or work authorisation.",MEASURED DOCUMENT CUSTODY / LEGAL EFFECT NOT ASSESSED,"Document presence is not a legal opinion, current registry verification or work authorisation.",SRC-INT-B6-0006,OPEN-LEGAL-B5-001; MOKO PREPARED_NOT_SENT,Preserve byte-for-byte and keep separate from EMOPET-generated publications.
CLM-B6-0215,ZIP-0215,"HISTORICAL WORKING MASTER / SUPERSEDED FOR EXECUTION EVIDENCE. Must not be presented as signed, transmitted or legally effective.",STATIC SOURCE PRESENT / EXECUTION EVIDENCE ABSENT,"Must not be presented as signed, transmitted or legally effective.",SRC-INT-B6-0007,OPEN-LEGAL-B5-001,Preserve unchanged; use the executed original for document-state evidence.
CLM-B6-0220,SUP-MOKO-001,"HISTORICAL OR SUPERSEDED MOKO INPUT. Does not establish current r1.6 content, transmission, quotation, manufacturing or final publication.",STATIC SOURCE CUSTODY / CURRENT RELEASE AUTHORITY SUPERSEDED,"Does not establish current r1.6 content, transmission, quotation, manufacturing or final publication.",SRC-INT-B6-0008,MOKO PREPARED_NOT_SENT; OPEN-DOC-005,Preserve unchanged and map only as a predecessor to the exact r1.6 authority.
CLM-B6-0221,ZIP-0221,"HISTORICAL OR SUPERSEDED MOKO INPUT. Does not establish current r1.6 content, transmission, quotation, manufacturing or final publication.",STATIC SOURCE CUSTODY / CURRENT RELEASE AUTHORITY SUPERSEDED,"Does not establish current r1.6 content, transmission, quotation, manufacturing or final publication.",SRC-INT-B6-0009,MOKO PREPARED_NOT_SENT; OPEN-DOC-005,Preserve unchanged and map only as a predecessor to the exact r1.6 authority.
CLM-B6-0222,SUP-MOKO-002,"HISTORICAL OR SUPERSEDED MOKO INPUT. Does not establish current r1.6 content, transmission, quotation, manufacturing or final publication.",STATIC SOURCE CUSTODY / CURRENT RELEASE AUTHORITY SUPERSEDED,"Does not establish current r1.6 content, transmission, quotation, manufacturing or final publication.",SRC-INT-B6-0010,MOKO PREPARED_NOT_SENT; OPEN-DOC-005,Preserve unchanged and map only as a predecessor to the exact r1.6 authority.
CLM-B6-0223,ZIP-0223,"HISTORICAL OR SUPERSEDED MOKO INPUT. Does not establish current r1.6 content, transmission, quotation, manufacturing or final publication.",STATIC SOURCE CUSTODY / CURRENT RELEASE AUTHORITY SUPERSEDED,"Does not establish current r1.6 content, transmission, quotation, manufacturing or final publication.",SRC-INT-B6-0011,MOKO PREPARED_NOT_SENT; OPEN-DOC-005,Preserve unchanged and map only as a predecessor to the exact r1.6 authority.
CLM-B6-0224,SUP-MOKO-003,"HISTORICAL OR SUPERSEDED MOKO INPUT. Does not establish current r1.6 content, transmission, quotation, manufacturing or final publication.",STATIC SOURCE CUSTODY / CURRENT RELEASE AUTHORITY SUPERSEDED,"Does not establish current r1.6 content, transmission, quotation, manufacturing or final publication.",SRC-INT-B6-0012,MOKO PREPARED_NOT_SENT; OPEN-DOC-005,Preserve unchanged and map only as a predecessor to the exact r1.6 authority.
CLM-B6-0225,ZIP-0225,"HISTORICAL OR SUPERSEDED MOKO INPUT. Does not establish current r1.6 content, transmission, quotation, manufacturing or final publication.",STATIC SOURCE CUSTODY / CURRENT RELEASE AUTHORITY SUPERSEDED,"Does not establish current r1.6 content, transmission, quotation, manufacturing or final publication.",SRC-INT-B6-0013,MOKO PREPARED_NOT_SENT; OPEN-DOC-005,Preserve unchanged and map only as a predecessor to the exact r1.6 authority.
CLM-B6-0368,ZIP-0368,"HISTORICAL COMMUNICATION DRAFT / NOT TRANSMISSION EVIDENCE. Text presence does not prove recipient, send time, delivery or exact attachments.",CONTROLLED_INTERNAL / SEND EVENT NOT ESTABLISHED,"Text presence does not prove recipient, send time, delivery or exact attachments.",SRC-INT-B6-0014,MOKO TRANSMISSION OPEN / PREPARED_NOT_SENT,Retain; attach an authorised send record only if an actual transmission occurs.
CLM-B6-W0002,MOKO-RECON-016-WORK,CURRENT FOR WORK RECONCILIATION CONTROL ONLY. Does not replace any frozen MOKO archive or prove transmission.,CONTROLLED_INTERNAL / DERIVATIVE CONTROL ARTIFACT,Does not replace any frozen MOKO archive or prove transmission.,SRC-INT-B6-0001,MOKO PREPARED_NOT_SENT; OPEN-DOC-005,Retain with checkpoint lineage; use the exact frozen package for payload authority.
CLM-B6-W0003,MOKO-RECON-016-REGISTER,CURRENT FOR WORK RECONCILIATION CONTROL ONLY. Does not replace any frozen MOKO archive or prove transmission.,CONTROLLED_INTERNAL / DERIVATIVE CONTROL ARTIFACT,Does not replace any frozen MOKO archive or prove transmission.,SRC-INT-B6-0002,MOKO PREPARED_NOT_SENT; OPEN-DOC-005,Retain with checkpoint lineage; use the exact frozen package for payload authority.
CLM-B6-W0004,MOKO-RECON-016-SIDECAR,CURRENT FOR WORK RECONCILIATION CONTROL ONLY. Does not replace any frozen MOKO archive or prove transmission.,CONTROLLED_INTERNAL / DERIVATIVE CONTROL ARTIFACT,Does not replace any frozen MOKO archive or prove transmission.,SRC-INT-B6-0003,MOKO PREPARED_NOT_SENT; OPEN-DOC-005,Retain with checkpoint lineage; use the exact frozen package for payload authority.
CLM-B6-W0006,SUP-MOKO-004-r1.6,ACTIVE CURRENT RELEASE CANDIDATE / PREPARED_NOT_SENT / NOT RELEASED. The r1.6 ZIP binary is absent locally; no new local archive hash or member verification is claimed.,CONTROLLED_FOUNDER_INPUT / SUPPLIED 46-ROW VERIFICATION REGISTER / LOCAL ZIP HASH NOT REPEATED,The r1.6 ZIP binary is absent locally; no new local archive hash or member verification is claimed.,SRC-INT-B6-0004,MOKO CURRENT-RELEASE INGESTION CLOSED / TRANSMISSION AND RELEASE OPEN; OPEN-DOC-005,Preserve the supplied authority mapping; ingest the exact binary only when separately materialised without overwriting it.
