repo_path,record_type,source_checkpoint_member,source_sha256,status,promotion_decision,notes
docs/control/document-control-r2/CONTROLLED_ARCHIVE_CUSTODY_RECOVERY_2026-08-29.md,EXACT_R2_RECORD,05_QA/CONTROLLED_ARCHIVE_CUSTODY_RECOVERY_2026-08-29.md,897a1dbdb015d76f4d9be072bce2f49fbd1ebb200bc2a7a2979c991b223999e3,PASS_WITH_NOTES,PROMOTE,Byte-identical custody evidence
docs/control/document-control-r2/CONTROLLED_ARCHIVE_CUSTODY_RECOVERY_2026-08-29.json,EXACT_R2_RECORD,05_QA/CONTROLLED_ARCHIVE_CUSTODY_RECOVERY_2026-08-29.json,2e8ce52a6e7c1691b5471ee9852f6a8ff83aa555059b905d43b5029da6b75e5e,PASS_WITH_NOTES,PROMOTE,Byte-identical machine-readable custody evidence
docs/control/document-control-r2/GLOBAL_METADATA_NORMALIZATION_QA_2026-08-29.md,EXACT_R2_RECORD,05_QA/GLOBAL_METADATA_NORMALIZATION_QA_2026-08-29.md,4e96a95fa37c8cbcfa4cbb23dc798c03318799476a007a5c262e29b65bb7d93e,PASS_WITH_NOTES,PROMOTE,Byte-identical non-inferential metadata QA
docs/control/document-control-r2/SOURCE_MATERIALIZATION_CUSTODY_RECOVERY_2026-08-29.md,EXACT_R2_RECORD,05_QA/SOURCE_MATERIALIZATION_CUSTODY_RECOVERY_2026-08-29.md,be5839fdf3f46e161e0ae6c8969d42225c1426962a10982c28fe6eda286dcb9f,PASS_WITH_NOTES,PROMOTE,Byte-identical immutable-source custody evidence
docs/control/document-control-r2/SOURCE_MATERIALIZATION_CUSTODY_RECOVERY_2026-08-29.json,EXACT_R2_RECORD,05_QA/SOURCE_MATERIALIZATION_CUSTODY_RECOVERY_2026-08-29.json,e5a9b737c4b30b6a55a7199445513c619c4a876c9a0059cae39a18b05cacb5da,PASS_WITH_NOTES,PROMOTE,Byte-identical machine-readable immutable-source custody evidence
docs/control/document-control-r2/README.md,REPOSITORY_CONTROL,N/A,GENERATED_AT_PROMOTION,INTERNAL_CONTROLLED,PROMOTE,Scope authority and exclusion index
docs/control/document-control-r2/R2_CHECKPOINT_INTEGRITY_RECORD.md,REPOSITORY_CONTROL,N/A,GENERATED_AT_PROMOTION,PASS_WITH_NOTES,PROMOTE,Local integrity and authority-boundary record
docs/control/document-control-r2/BRAND_AUTHORITY_REPOSITORY_DISPOSITION.md,REPOSITORY_CONTROL,N/A,GENERATED_AT_PROMOTION,CLOSED,PROMOTE,Current repository authority disposition with immutable R2 history
docs/control/document-control-r2/CLOSED_GATE_PROMOTION_REGISTER.csv,REPOSITORY_CONTROL,N/A,GENERATED_AT_PROMOTION,CLOSED_SCOPE_ONLY,PROMOTE,Four R2 inactive gates and bounded repository treatment
docs/control/document-control-r2/PROMOTION_MANIFEST.csv,REPOSITORY_CONTROL,N/A,SELF_REFERENTIAL,INTERNAL_CONTROLLED,PROMOTE,Selection and lineage manifest
docs/control/document-control-r2/PROMOTION_QA.md,REPOSITORY_CONTROL,N/A,GENERATED_AT_PROMOTION,PASS_WITH_NOTES,PROMOTE,Repository promotion QA
