claim_id,document_id,claim,evidence_status,conflict_status,source_id,internal_evidence_id,notes
CLM-B8-0238,ZIP-0238,"HISTORICAL CONTEXT / SUPERSEDED BY CURRENT GNSS GOVERNANCE. No exact GNSS module, antenna or implementation is selected.",CONTROLLED_INTERNAL / CURRENT GNSS IMPLEMENTATION OPEN,"No exact GNSS module, antenna or implementation is selected.",SRC-INT-B8-0002,OPEN-ENG-001; OPEN-ENG-003,Retain for history; current Product and engineering gates govern.
CLM-B8-0369,SUP-MOKO-005,"IMMUTABLE r1.4 SOURCE REFERENCE / SUPERSEDED FOR CURRENT CONTENT. Does not establish r1.6 content, transmission, implementation, validation, manufacturing or final typography publication.",SOURCE CUSTODY / HISTORICAL CONTENT,"Does not establish r1.6 content, transmission, implementation, validation, manufacturing or final typography publication.",SRC-INT-B8-0003,MOKO PREPARED_NOT_SENT; OPEN-DOC-005,Preserve unchanged; use the supplied r1.6 authority mapping for current content.
CLM-B8-0370,SUP-MOKO-005,"IMMUTABLE r1.4 SOURCE REFERENCE / SUPERSEDED FOR CURRENT CONTENT. Does not establish r1.6 content, transmission, implementation, validation, manufacturing or final typography publication.",SOURCE CUSTODY / HISTORICAL CONTENT,"Does not establish r1.6 content, transmission, implementation, validation, manufacturing or final typography publication.",SRC-INT-B8-0004,MOKO PREPARED_NOT_SENT; OPEN-DOC-005,Preserve unchanged; use the supplied r1.6 authority mapping for current content.
CLM-B8-0371,ZIP-0371,"CURRENT ORIGINAL IDENTITY / HISTORICAL PACKAGE MEMBER. No legal effect, registry currency, capacity or release state is inferred.",SUPPLIED CROSS-RELEASE BYTE IDENTITY / SOURCE CUSTODY,"No legal effect, registry currency, capacity or release state is inferred.",SRC-INT-B8-0005,OPEN-LEGAL-B5-001; MOKO PREPARED_NOT_SENT,Preserve byte-for-byte; never restyle or replace inside historical archives.
CLM-B8-0372,ZIP-0372,"CURRENT ORIGINAL IDENTITY / HISTORICAL PACKAGE MEMBER. No legal effect, registry currency, capacity or release state is inferred.",SUPPLIED CROSS-RELEASE BYTE IDENTITY / SOURCE CUSTODY,"No legal effect, registry currency, capacity or release state is inferred.",SRC-INT-B8-0006,OPEN-LEGAL-B5-001; MOKO PREPARED_NOT_SENT,Preserve byte-for-byte; never restyle or replace inside historical archives.
CLM-B8-0373,ZIP-0373,"CURRENT ORIGINAL IDENTITY / HISTORICAL PACKAGE MEMBER. No legal effect, registry currency, capacity or release state is inferred.",SUPPLIED CROSS-RELEASE BYTE IDENTITY / SOURCE CUSTODY,"No legal effect, registry currency, capacity or release state is inferred.",SRC-INT-B8-0007,OPEN-LEGAL-B5-001; MOKO PREPARED_NOT_SENT,Preserve byte-for-byte; never restyle or replace inside historical archives.
CLM-B8-0374,ZIP-0374,"CURRENT ORIGINAL IDENTITY / HISTORICAL PACKAGE MEMBER. No legal effect, registry currency, capacity or release state is inferred.",SUPPLIED CROSS-RELEASE BYTE IDENTITY / SOURCE CUSTODY,"No legal effect, registry currency, capacity or release state is inferred.",SRC-INT-B8-0008,OPEN-LEGAL-B5-001; MOKO PREPARED_NOT_SENT,Preserve byte-for-byte; never restyle or replace inside historical archives.
CLM-B8-0375,PRD-MAT-001,"IMMUTABLE r1.4 SOURCE REFERENCE / SUPERSEDED FOR CURRENT CONTENT. Does not establish r1.6 content, transmission, implementation, validation, manufacturing or final typography publication.",SOURCE CUSTODY / HISTORICAL CONTENT,"Does not establish r1.6 content, transmission, implementation, validation, manufacturing or final typography publication.",SRC-INT-B8-0009,MOKO PREPARED_NOT_SENT; OPEN-DOC-005,Preserve unchanged; use the supplied r1.6 authority mapping for current content.
CLM-B8-0376,PRD-TAG-001,"IMMUTABLE r1.4 SOURCE REFERENCE / SUPERSEDED FOR CURRENT CONTENT. Does not establish r1.6 content, transmission, implementation, validation, manufacturing or final typography publication.",SOURCE CUSTODY / HISTORICAL CONTENT,"Does not establish r1.6 content, transmission, implementation, validation, manufacturing or final typography publication.",SRC-INT-B8-0010,MOKO PREPARED_NOT_SENT; OPEN-DOC-005,Preserve unchanged; use the supplied r1.6 authority mapping for current content.
CLM-B8-0377,ZIP-0377,"IMMUTABLE r1.4 SOURCE REFERENCE / SUPERSEDED FOR CURRENT CONTENT. Does not establish r1.6 content, transmission, implementation, validation, manufacturing or final typography publication.",SOURCE CUSTODY / HISTORICAL CONTENT,"Does not establish r1.6 content, transmission, implementation, validation, manufacturing or final typography publication.",SRC-INT-B8-0011,MOKO PREPARED_NOT_SENT; OPEN-DOC-005,Preserve unchanged; use the supplied r1.6 authority mapping for current content.
