claim_id,document_id,claim,evidence_status,conflict_status,source_id,internal_evidence_id,notes
CLM-B9-0004,ZIP-0004,"HISTORICAL OR SUPPORTING CONTEXT / CURRENT AUTHORITIES GOVERN. Does not prove current component selection, repository integration, validation, Gerbers, fabrication, transmission or release.",STATIC SOURCE CUSTODY / CURRENT STATUS SEPARATE,"Does not prove current component selection, repository integration, validation, Gerbers, fabrication, transmission or release.",SRC-INT-B9-0001,OPEN-DOC-007; OPEN-VAL-B2-001; OPEN-DOC-008; OPEN-DOC-005,"Retain for audit history; use current Batch 2, Product, MOKO and living control authorities."
CLM-B9-0005,ZIP-0005,"SUPPORTING PREBENCH INPUT / CURRENT ENGINEERING AUTHORITY SEPARATE. Does not prove procurement, bench execution, measured result, component selection, Gerber availability or manufacturing readiness.",CONTROLLED_INTERNAL / STATIC SOURCE ONLY,"Does not prove procurement, bench execution, measured result, component selection, Gerber availability or manufacturing readiness.",SRC-INT-B9-0002,OPEN-DOC-007; OPEN-VAL-B2-001; OPEN-ENG-001; OPEN-ENG-003; OPEN-ENG-004; OPEN-ENG-005,Use only under current Batch 2 engineering authorities and attach measured evidence before closing any gate.
CLM-B9-0006,ZIP-0006,"SUPPORTING PREBENCH INPUT / CURRENT ENGINEERING AUTHORITY SEPARATE. Does not prove procurement, bench execution, measured result, component selection, Gerber availability or manufacturing readiness.",CONTROLLED_INTERNAL / STATIC SOURCE ONLY,"Does not prove procurement, bench execution, measured result, component selection, Gerber availability or manufacturing readiness.",SRC-INT-B9-0003,OPEN-DOC-007; OPEN-VAL-B2-001; OPEN-ENG-001; OPEN-ENG-003; OPEN-ENG-004; OPEN-ENG-005,Use only under current Batch 2 engineering authorities and attach measured evidence before closing any gate.
CLM-B9-0007,ZIP-0007,"SUPPORTING PREBENCH INPUT / CURRENT ENGINEERING AUTHORITY SEPARATE. Does not prove procurement, bench execution, measured result, component selection, Gerber availability or manufacturing readiness.",CONTROLLED_INTERNAL / STATIC SOURCE ONLY,"Does not prove procurement, bench execution, measured result, component selection, Gerber availability or manufacturing readiness.",SRC-INT-B9-0004,OPEN-DOC-007; OPEN-VAL-B2-001; OPEN-ENG-001; OPEN-ENG-003; OPEN-ENG-004; OPEN-ENG-005,Use only under current Batch 2 engineering authorities and attach measured evidence before closing any gate.
CLM-B9-0024,ZIP-0024,"SUPPORTING PREBENCH INPUT / CURRENT ENGINEERING AUTHORITY SEPARATE. Does not prove procurement, bench execution, measured result, component selection, Gerber availability or manufacturing readiness.",CONTROLLED_INTERNAL / STATIC SOURCE ONLY,"Does not prove procurement, bench execution, measured result, component selection, Gerber availability or manufacturing readiness.",SRC-INT-B9-0005,OPEN-DOC-007; OPEN-VAL-B2-001; OPEN-ENG-001; OPEN-ENG-003; OPEN-ENG-004; OPEN-ENG-005,Use only under current Batch 2 engineering authorities and attach measured evidence before closing any gate.
CLM-B9-0025,ZIP-0025,"SUPPORTING PREBENCH INPUT / CURRENT ENGINEERING AUTHORITY SEPARATE. Does not prove procurement, bench execution, measured result, component selection, Gerber availability or manufacturing readiness.",CONTROLLED_INTERNAL / STATIC SOURCE ONLY,"Does not prove procurement, bench execution, measured result, component selection, Gerber availability or manufacturing readiness.",SRC-INT-B9-0006,OPEN-DOC-007; OPEN-VAL-B2-001; OPEN-ENG-001; OPEN-ENG-003; OPEN-ENG-004; OPEN-ENG-005,Use only under current Batch 2 engineering authorities and attach measured evidence before closing any gate.
CLM-B9-0027,ZIP-0027,"SUPPORTING PREBENCH INPUT / CURRENT ENGINEERING AUTHORITY SEPARATE. Does not prove procurement, bench execution, measured result, component selection, Gerber availability or manufacturing readiness.",CONTROLLED_INTERNAL / STATIC SOURCE ONLY,"Does not prove procurement, bench execution, measured result, component selection, Gerber availability or manufacturing readiness.",SRC-INT-B9-0007,OPEN-DOC-007; OPEN-VAL-B2-001; OPEN-ENG-001; OPEN-ENG-003; OPEN-ENG-004; OPEN-ENG-005,Use only under current Batch 2 engineering authorities and attach measured evidence before closing any gate.
CLM-B9-0028,ZIP-0028,"SUPPORTING PREBENCH INPUT / CURRENT ENGINEERING AUTHORITY SEPARATE. Does not prove procurement, bench execution, measured result, component selection, Gerber availability or manufacturing readiness.",CONTROLLED_INTERNAL / STATIC SOURCE ONLY,"Does not prove procurement, bench execution, measured result, component selection, Gerber availability or manufacturing readiness.",SRC-INT-B9-0008,OPEN-DOC-007; OPEN-VAL-B2-001; OPEN-ENG-001; OPEN-ENG-003; OPEN-ENG-004; OPEN-ENG-005,Use only under current Batch 2 engineering authorities and attach measured evidence before closing any gate.
CLM-B9-0029,ZIP-0029,"SUPPORTING PREBENCH INPUT / CURRENT ENGINEERING AUTHORITY SEPARATE. Does not prove procurement, bench execution, measured result, component selection, Gerber availability or manufacturing readiness.",CONTROLLED_INTERNAL / STATIC SOURCE ONLY,"Does not prove procurement, bench execution, measured result, component selection, Gerber availability or manufacturing readiness.",SRC-INT-B9-0009,OPEN-DOC-007; OPEN-VAL-B2-001; OPEN-ENG-001; OPEN-ENG-003; OPEN-ENG-004; OPEN-ENG-005,Use only under current Batch 2 engineering authorities and attach measured evidence before closing any gate.
CLM-B9-0030,ZIP-0030,"SUPPORTING PREBENCH INPUT / CURRENT ENGINEERING AUTHORITY SEPARATE. Does not prove procurement, bench execution, measured result, component selection, Gerber availability or manufacturing readiness.",CONTROLLED_INTERNAL / STATIC SOURCE ONLY,"Does not prove procurement, bench execution, measured result, component selection, Gerber availability or manufacturing readiness.",SRC-INT-B9-0010,OPEN-DOC-007; OPEN-VAL-B2-001; OPEN-ENG-001; OPEN-ENG-003; OPEN-ENG-004; OPEN-ENG-005,Use only under current Batch 2 engineering authorities and attach measured evidence before closing any gate.
