file_id,scope_origin,source_path,logical_document_id,title,batch,domain,classification,owner,revision,canonical_status,authority_resolution,review_status,internal_profile_source,derived_internal_review_tier,public_profile_source,derived_external_presentation_tier,visual_qa_status,github_handling,release_state,control_note
ZIP-0001,IMMUTABLE_SOURCE_ZIP_MEMBER,00_START_HERE/EMOPET_SINGLE_FILE_CONTROLLED_BASELINE_META_2026-08-24.md,GOV-CONTEXT-PACKAGE-2026-08-24,EMOPET_SINGLE_FILE_CONTROLLED_BASELINE_META_2026-08-24,BATCH 0,GOV,INTERNAL CONTROLLED CONTEXT,Document Control — FUNCTIONAL OWNER / HUMAN ASSIGNMENT OPEN,2026-08-24,CONTROLLED CONTEXT PACKAGE — DERIVATIVE ONBOARDING SOURCE,RESOLVED AT DOCUMENT LEVEL,DOCUMENT-LEVEL AUTHORITY / REVISION / OWNER / CLASSIFICATION / PROFILE RECONCILED,INCLUDE — SOURCE / CONTROL / EVIDENCE RECORD,INTERNAL_REVIEW_CANDIDATE_WITH_CONTROLS,EXPLICIT PUBLICATION APPROVAL REQUIRED,EXPLICIT_PUBLICATION_APPROVAL_REQUIRED,NOT STARTED,DO_NOT_PUBLISH_RESTRICTED_OR_UNAPPROVED,NOT_RELEASED,"Internal review candidacy does not establish external publication, release, validation, transmission or manufacturing authority."
ZIP-0002,IMMUTABLE_SOURCE_ZIP_MEMBER,00_START_HERE/READ_FIRST_CURRENT_2026-08-25.md,GOV-CURRENT-HANDOFF-2026-08-25,READ_FIRST_CURRENT_2026-08-25,BATCH 0,GOV,INTERNAL CONTROLLED,Document Control — FUNCTIONAL OWNER / HUMAN ASSIGNMENT OPEN,2026-08-25,CURRENT PACKAGE AUTHORITY ORDER,RESOLVED AT DOCUMENT LEVEL,DOCUMENT-LEVEL AUTHORITY / REVISION / OWNER / CLASSIFICATION / PROFILE RECONCILED,INCLUDE — SOURCE / CONTROL / EVIDENCE RECORD,INTERNAL_REVIEW_CANDIDATE_WITH_CONTROLS,EXPLICIT PUBLICATION APPROVAL REQUIRED,EXPLICIT_PUBLICATION_APPROVAL_REQUIRED,NOT STARTED,DO_NOT_PUBLISH_RESTRICTED_OR_UNAPPROVED,NOT_RELEASED,"Internal review candidacy does not establish external publication, release, validation, transmission or manufacturing authority."
ZIP-0003,IMMUTABLE_SOURCE_ZIP_MEMBER,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/00_START_HERE/CURRENT_UPDATE_MANIFEST.md,GOV-UPDATE-MANIFEST-2026-08-24,CURRENT_UPDATE_MANIFEST,BATCH 0,GOV,INTERNAL CONTROLLED,Document Control — FUNCTIONAL OWNER / HUMAN ASSIGNMENT OPEN,2026-08-24,CONTROLLED UPDATE MANIFEST — NO TECHNICAL PROMOTION,RESOLVED AT DOCUMENT LEVEL,DOCUMENT-LEVEL AUTHORITY / REVISION / OWNER / CLASSIFICATION / PROFILE RECONCILED,INCLUDE — SOURCE / CONTROL / EVIDENCE RECORD,INTERNAL_REVIEW_CANDIDATE_WITH_CONTROLS,EXPLICIT PUBLICATION APPROVAL REQUIRED,EXPLICIT_PUBLICATION_APPROVAL_REQUIRED,NOT STARTED,DO_NOT_PUBLISH_RESTRICTED_OR_UNAPPROVED,NOT_RELEASED,"Internal review candidacy does not establish external publication, release, validation, transmission or manufacturing authority."
ZIP-0004,IMMUTABLE_SOURCE_ZIP_MEMBER,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/01_TAG_MAT_R1_1/CLAUDE_DELTA_HANDOFF_2026-08-24_21H.md,,CLAUDE_DELTA_HANDOFF_2026-08-24_21H,BATCH 9,GOVERNANCE,INTERNAL CONTROLLED HANDLING — SOURCE CLASSIFICATION NOT STATED,Document Control / Engineering,SOURCE REVISION NOT STATED / NOT VERIFIED,PRESERVE FOR TRACEABILITY / NOT CURRENT RELEASE OR IMPLEMENTATION PROOF,HISTORICAL OR SUPPORTING CONTEXT / CURRENT AUTHORITIES GOVERN,RECONCILED 2026-08-28 — BATCH 9 / NOT RELEASED,INCLUDE WITH CONTROL NOTES,INTERNAL_REVIEW_CANDIDATE_WITH_CONTROLS,EXCLUDE,EXCLUDED_FROM_PUBLIC_PROFILE,STATIC QA ONLY / PRIOR QA REUSED WHERE APPLICABLE / NOT FINAL PUBLICATION EVIDENCE,DO_NOT_PUBLISH_RESTRICTED_OR_UNAPPROVED,NOT_RELEASED,"Internal review candidacy does not establish external publication, release, validation, transmission or manufacturing authority."
ZIP-0005,IMMUTABLE_SOURCE_ZIP_MEMBER,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/01_TAG_MAT_R1_1/EMOPET_TAG_R1_1_MAT_TRADE_STUDY_2026-08-24.xlsx,,EMOPET_TAG_R1_1_MAT_TRADE_STUDY_2026-08-24,BATCH 9,MAT,INTERNAL CONTROLLED HANDLING — SOURCE CLASSIFICATION NOT STATED,Document Control / Engineering,SOURCE REVISION NOT STATED / NOT VERIFIED,PRESERVE AS STATIC INPUT / EXECUTION AND VALIDATION OPEN,SUPPORTING PREBENCH INPUT / CURRENT ENGINEERING AUTHORITY SEPARATE,RECONCILED 2026-08-28 — BATCH 9 / NOT RELEASED,INCLUDE WITH CONTROL NOTES,INTERNAL_REVIEW_CANDIDATE_WITH_CONTROLS,EXCLUDE,EXCLUDED_FROM_PUBLIC_PROFILE,STATIC QA ONLY / PRIOR QA REUSED WHERE APPLICABLE / NOT FINAL PUBLICATION EVIDENCE,DO_NOT_PUBLISH_RESTRICTED_OR_UNAPPROVED,NOT_RELEASED,"Internal review candidacy does not establish external publication, release, validation, transmission or manufacturing authority."
ZIP-0006,IMMUTABLE_SOURCE_ZIP_MEMBER,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/01_TAG_MAT_R1_1/MAT_RfCf_LOW_FREQUENCY_RECOVERY_TRADE_STUDY.csv,,MAT_RfCf_LOW_FREQUENCY_RECOVERY_TRADE_STUDY,BATCH 9,MAT,INTERNAL CONTROLLED HANDLING — SOURCE CLASSIFICATION NOT STATED,Document Control / Engineering,SOURCE REVISION NOT STATED / NOT VERIFIED,PRESERVE AS STATIC INPUT / EXECUTION AND VALIDATION OPEN,SUPPORTING PREBENCH INPUT / CURRENT ENGINEERING AUTHORITY SEPARATE,RECONCILED 2026-08-28 — BATCH 9 / NOT RELEASED,INCLUDE WITH CONTROL NOTES,INTERNAL_REVIEW_CANDIDATE_WITH_CONTROLS,EXCLUDE,EXCLUDED_FROM_PUBLIC_PROFILE,STATIC QA ONLY / PRIOR QA REUSED WHERE APPLICABLE / NOT FINAL PUBLICATION EVIDENCE,DO_NOT_PUBLISH_RESTRICTED_OR_UNAPPROVED,NOT_RELEASED,"Internal review candidacy does not establish external publication, release, validation, transmission or manufacturing authority."
ZIP-0007,IMMUTABLE_SOURCE_ZIP_MEMBER,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/01_TAG_MAT_R1_1/MAT_RfCf_LOW_FREQUENCY_RECOVERY_TRADE_STUDY.md,,MAT_RfCf_LOW_FREQUENCY_RECOVERY_TRADE_STUDY,BATCH 9,MAT,INTERNAL CONTROLLED HANDLING — SOURCE CLASSIFICATION NOT STATED,Document Control / Engineering,SOURCE REVISION NOT STATED / NOT VERIFIED,PRESERVE AS STATIC INPUT / EXECUTION AND VALIDATION OPEN,SUPPORTING PREBENCH INPUT / CURRENT ENGINEERING AUTHORITY SEPARATE,RECONCILED 2026-08-28 — BATCH 9 / NOT RELEASED,INCLUDE WITH CONTROL NOTES,INTERNAL_REVIEW_CANDIDATE_WITH_CONTROLS,EXCLUDE,EXCLUDED_FROM_PUBLIC_PROFILE,STATIC QA ONLY / PRIOR QA REUSED WHERE APPLICABLE / NOT FINAL PUBLICATION EVIDENCE,DO_NOT_PUBLISH_RESTRICTED_OR_UNAPPROVED,NOT_RELEASED,"Internal review candidacy does not establish external publication, release, validation, transmission or manufacturing authority."
ZIP-0008,IMMUTABLE_SOURCE_ZIP_MEMBER,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/01_TAG_MAT_R1_1/TAG_PHASE2_POWER_MODEL_FRAMEWORK_R1_1_NOTE.md,,TAG_PHASE2_POWER_MODEL_FRAMEWORK_R1_1_NOTE,BATCH 2,TAG,INTERNAL CONTROLLED HANDLING — SOURCE CLASSIFICATION NOT STATED,Engineering / Document Control — FUNCTIONAL OWNER / HUMAN ASSIGNMENT OPEN,SOURCE REVISION NOT STATED / NOT VERIFIED,EVIDENCE INPUT — NO COMPONENT OR AUTONOMY DECISION,SUPPORTING EVIDENCE — PARAMETRIC / PRE-BENCH ONLY,RECONCILED 2026-08-27 — NOT RELEASED,INCLUSION TO DECIDE,INTERNAL_INCLUSION_DECISION_OPEN,EXPLICIT APPROVAL REQUIRED,EXPLICIT_PUBLICATION_APPROVAL_REQUIRED,NOT STARTED,DO_NOT_PUBLISH_RESTRICTED_OR_UNAPPROVED,NOT_RELEASED,"Internal review candidacy does not establish external publication, release, validation, transmission or manufacturing authority."
ZIP-0009,IMMUTABLE_SOURCE_ZIP_MEMBER,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/01_TAG_MAT_R1_1/TAG_PHASE2_POWER_STATE_MATRIX_R1_1.csv,,TAG_PHASE2_POWER_STATE_MATRIX_R1_1,BATCH 2,TAG,INTERNAL CONTROLLED HANDLING — SOURCE CLASSIFICATION NOT STATED,Engineering / Document Control — FUNCTIONAL OWNER / HUMAN ASSIGNMENT OPEN,SOURCE REVISION NOT STATED / NOT VERIFIED,EVIDENCE INPUT — NO COMPONENT OR AUTONOMY DECISION,SUPPORTING EVIDENCE — PARAMETRIC / PRE-BENCH ONLY,RECONCILED 2026-08-27 — NOT RELEASED,INCLUSION TO DECIDE,INTERNAL_INCLUSION_DECISION_OPEN,EXPLICIT APPROVAL REQUIRED,EXPLICIT_PUBLICATION_APPROVAL_REQUIRED,NOT STARTED,DO_NOT_PUBLISH_RESTRICTED_OR_UNAPPROVED,NOT_RELEASED,"Internal review candidacy does not establish external publication, release, validation, transmission or manufacturing authority."
ZIP-0010,IMMUTABLE_SOURCE_ZIP_MEMBER,01_BASELINE_THROUGH_2026-08-24_1938Z/12_REV_A2R1_CURRENT_UPDATE_2026-08-24/02_TAG_EVIDENCE_R1_4/CLAUDE_DELTA_HANDOFF_2026-08-24_21H_V2.md,TAG-EVIDENCE-HANDOFF-2026-08-24,CLAUDE_DELTA_HANDOFF_2026-08-24_21H_V2,BATCH 2,TAG,INTERNAL CONTROLLED HANDLING — SOURCE CLASSIFICATION NOT STATED,Science / Evidence Review — FUNCTIONAL OWNER / HUMAN ASSIGNMENT OPEN,SOURCE REVISION NOT STATED / NOT VERIFIED,SUPPORTING ENGINEERING SOURCE — MATURITY PER SOURCE,RESOLVED AT DOCUMENT LEVEL — VALIDATION / RELEASE STATUS PRESERVED,DOCUMENT-LEVEL AUTHORITY / EVIDENCE RECONCILED 2026-08-27 — NOT RELEASED,INCLUSION TO DECIDE,INTERNAL_INCLUSION_DECISION_OPEN,EXPLICIT APPROVAL REQUIRED,EXPLICIT_PUBLICATION_APPROVAL_REQUIRED,NOT APPLICABLE / SOURCE PRESERVED,DO_NOT_PUBLISH_RESTRICTED_OR_UNAPPROVED,NOT_RELEASED,"Internal review candidacy does not establish external publication, release, validation, transmission or manufacturing authority."
