open_source_id,claim_or_subject,current_status,source_needed,owner,next_action,publication_rule
OPEN-SOURCE-001,Harris Williams 85% real-time information statistic,SOURCE_NOT_RECONCILED,"Exact primary report, page, methodology and date",Product Research,Locate primary source or remove from publishable claims.,DO NOT PUBLISH AS FACT
OPEN-SOURCE-002,Exact L76K source / lifecycle / parameters,OPEN SOURCE GATE — NOT SELECTED,Exact official datasheet/hardware design for exact PN/suffix and lifecycle,Hardware / RF,Obtain and reconcile exact primary manufacturer source; selection still requires controlled decision.,DO NOT PRESENT L76K AS SELECTED
OPEN-SOURCE-003,Exact TAG battery continuous/pulse capability,EVIDENCE PENDING / CANDIDATE-SPECIFIC,Exact product datasheet plus manufacturer clarification and controlled test evidence,Power Engineering,"Resolve EEMB LP602030HA, EEMB LP602030 and UFine UFX602030 evidence separately.",NO SELECTED BATTERY OR FINAL AUTONOMY CLAIM
OPEN-SOURCE-004,Exact GNSS antenna,TO SELECT / RF DESIGN INPUT / TO VERIFY,Exact manufacturer source and RF/mechanical integration evidence,RF Engineering,Select only after controlled architecture decision and exact source review.,NO ANTENNA OR KEEP-OUT CLAIM AS CONTROLLED FACT
OPEN-SOURCE-005,MOKO r1.4 transmission evidence,NOT VERIFIED,Actual recipient/send record and exact transmitted hashes,Supplier Governance,Record only after actual authorized transmission.,DO NOT CLAIM SENT / RELEASED
OPEN-SOURCE-006,SCI-100 cited primary specification EMOPET-SCI-ELI-001,SOURCE_NOT_RECONCILED — EXACT IDENTIFIER NOT FOUND IN CORPUS OR DRIVE SEARCH,"Exact frozen specification with revision/date, owner, authority status and binary hash",Product / Science / Document Control,Obtain the exact cited authority and reconcile it against SCI-100 and the three Drive candidates.,DO NOT TREAT SCI-100 AS CANONICAL SCIENCE OR IMPLEMENTATION PROOF
OPEN-SOURCE-007,SCI-100 cited bibliography register SCI-BIB-001,SOURCE_NOT_RECONCILED — EXACT REGISTER NOT FOUND IN CORPUS OR DRIVE SEARCH,Exact bibliography register plus claim-to-source mapping and source-level verification,Science / Evidence Governance,"Obtain SCI-BIB-001, verify each cited primary source and map every scientific assertion before review.",DO NOT PUBLISH SCIENTIFIC OR PERFORMANCE CLAIMS FROM SCI-100
OPEN-SOURCE-008,Exact authoritative emopet_v6 repository and git commit,SOURCE_NOT_RECONCILED — DRIVE SAMPLE PARTIALLY MATCHED / GIT AUTHORITY NOT MATERIALISED,"Exact repository URL, controlled commit SHA/ref, complete frozen export or archive hash, branch/CI metadata and custody record",Software Engineering / DevOps,"Freeze the authoritative commit and reconcile it to the two sampled Drive trees before build, CI or deployment claims.","DO NOT CLAIM CURRENT IMPLEMENTATION, CI, BUILD OR DEPLOYMENT FROM DRIVE FILE PRESENCE"
OPEN-SOURCE-009,SEC-004 declared cybersecurity review source pack v0.4,SOURCE_NOT_RECONCILED — DECLARED INPUT NOT FOUND AS EXACT CONTROLLED AUTHORITY,"Exact frozen v0.4 source pack with identity, revision, owner, authority status and hash",Security / Document Control,Obtain and reconcile the declared v0.4 source before promoting SEC-004 conclusions or closing related cyber gates.,"DO NOT TREAT SEC-004 AS CANONICAL IMPLEMENTATION, CERTIFICATION OR LEGAL EVIDENCE"
OPEN-SOURCE-010,Exact current vendor rates and controlled quotes for FIN-002 / FIN-003 cost assumptions,SOURCE_NOT_RECONCILED — DATED PUBLIC/VENDOR SNAPSHOT AND INTERNAL BUDGET FREEZES ONLY,"Dated official price captures and supplier quotes matching the exact architecture, region, usage assumptions, taxes and term",Finance / Cloud / Procurement,"Refresh before commitment, application or external financial representation.","DO NOT PRESENT INTERNAL BUDGET FREEZES AS CURRENT QUOTES, ACTUALS OR AUTHORISED SPEND"
OPEN-SOURCE-011,"AudéLor confirmation of EMOPET Emergys eligibility, committee schedule and commitment timing",SOURCE_NOT_RECONCILED — GENERAL OFFICIAL PROGRAMME TERMS VERIFIED / EMOPET-SPECIFIC CONDITIONS OPEN,"Written AudéLor/technopole confirmation of eligibility, exact committee date/deadline, eligible expenses, off-EU supplier treatment, local/regional sequence, company-creation and commitment timing",Founder — EMOPET / Finance,"Obtain dated written confirmation before application, incorporation timing or supplier commitment.","DO NOT CLAIM ELIGIBILITY, SUBMISSION, COMMITTEE ACCEPTANCE, AWARD OR SAFE COMMITMENT TIMING"
OPEN-SOURCE-012,Current official legal status and authority of MOKO / Huachuang entities,SOURCE_NOT_RECONCILED — COMPANY PROFILE AND DATED BUSINESS LICENCE ORIGINALS PRESENT,"Current official registry extract or independently verifiable corporate-status record, with translation/verification if material",Legal / Supplier Due Diligence,Obtain current official registry evidence before making legal-status or capacity claims.,DO NOT TREAT COMPANY PROFILE OR DATED LICENCE PRESENCE AS CURRENT INDEPENDENT STATUS VERIFICATION
