claim_id,document_id,claim,evidence_status,conflict_status,source_id,internal_evidence_id,notes
CLM-B4-SW-001,SW-002,"SW-002 identifies the exact GitHub repository, protected branches and CI as code authority; Drive files are supporting observations only.",CONTROLLED_INTERNAL,CONTROLLED RULE / EXACT REPOSITORY SOURCE OPEN,SRC-INT-0002,OPEN-COR006-EX-021,The exact authoritative repository and commit were not materialised in this Work checkpoint.
CLM-B4-SW-004,emopet_v6,"The sampled equality does not establish full-tree identity, exact git history, commit authority, dependency installation, CI success, build success, tests or deployment.",EVIDENCE_PENDING,OPEN — EXACT REPOSITORY CUSTODY AND EXECUTION,SRC-DRIVE-B4-0001; SRC-DRIVE-B4-0002; SRC-DRIVE-B4-0003; SRC-DRIVE-B4-0004; SRC-DRIVE-B4-0005; SRC-DRIVE-B4-0006; SRC-DRIVE-B4-0007; SRC-DRIVE-B4-0008; SRC-DRIVE-B4-0009; SRC-DRIVE-B4-0010; SRC-DRIVE-B4-0011; SRC-DRIVE-B4-0012; SRC-DRIVE-B4-0013; SRC-DRIVE-B4-0014; SRC-DRIVE-B4-0015; SRC-DRIVE-B4-0016; SRC-DRIVE-B4-0017; SRC-DRIVE-B4-0018,OPEN-COR006-EX-021,Close only with a frozen authoritative commit/archive and reproducible execution evidence.
CLM-B4-SW-005,SW-001,"SW-001 records that the end-to-end slice, production authentication and CI proof were not established at its snapshot date.",EVIDENCE_PENDING,OPEN — EXECUTION EVIDENCE,SRC-INT-0002,OPEN-VAL-B4-001,Later source presence does not silently close the dated evidence gaps.
CLM-B4-SW-006,SW-002,"A feature is not complete under SW-002 without persistence, tests, authorisation, observability, migration and claim-guard evidence.",CONTROLLED_INTERNAL,CONTROLLED REQUIREMENT / EXECUTION OPEN,SRC-INT-0002,OPEN-VAL-B4-001,"This is a definition of done, not evidence that any feature satisfies it."
CLM-B4-SW-007,SW-003; ZIP-0100; ZIP-0101,"CI workflow sources are present, but enablement, branch-protection binding and successful CI runs are not proven in this checkpoint.",EVIDENCE_PENDING,OPEN — CI EXECUTION,SRC-INT-0002,OPEN-VAL-B4-001,Static workflow syntax is not a run log.
CLM-B4-CLOUD-001,SW-CLOUD-001; SW-CLOUD-002,Scaleway is the controlled target architecture and Terraform/OpenTofu is the frozen source implementation authority for this package.,CONTROLLED_INTERNAL,CONTROLLED TARGET / DEPLOYMENT OPEN,SRC-INT-0002,OPEN-VAL-B4-001,A target decision is not proof of a provisioned environment.
CLM-B4-CLOUD-002,SW-CLOUD-001; SW-CLOUD-002,"Production remains blocked pending authentication, migrations, restore, secrets, networking, monitoring and named account/IAM/DNS/cost approvals.",EVIDENCE_PENDING,OPEN — PRODUCTION NOT AUTHORISED,SRC-INT-0002,OPEN-VAL-B4-001,No production release or deployment status is promoted.
CLM-B4-CLOUD-004,Terraform source set,"No init, validate, plan, apply, state, drift, destroy or deployed-resource evidence is established by the source set.",EVIDENCE_PENDING,OPEN — TOOL AND ENVIRONMENT EXECUTION,SRC-INT-0002,OPEN-VAL-B4-001,"Future evidence must identify tool/provider versions, lockfiles, state custody and reviewer approval."
CLM-B4-DATA-003,DATA-001,DATA-001 states that no migration has been applied to production; no apply or rollback evidence is present here.,EVIDENCE_PENDING,OPEN — PRODUCTION MIGRATION NOT ESTABLISHED,SRC-INT-0002,OPEN-VAL-B4-001,Source availability cannot change this status.
CLM-B4-DATA-004,Batch 4 SQL,"The ten SQL files contain no RLS, CREATE POLICY, GRANT or REVOKE statement in this bounded source subset.",EVIDENCE_PENDING,OPEN — RUNTIME AUTHORISATION NOT ASSESSED,SRC-INT-0002,OPEN-VAL-B4-001,Absence from this subset is not proof that the authoritative repository or deployed database lacks authorisation controls.
CLM-B4-I18N-001,SW-I18N-001; SW-I18N-002,FR/EN web internationalisation is the documented active scope while the complete architecture and broader migration remain to build or verify.,CONTROLLED_INTERNAL,PARTIAL — CONTROLLED SCOPE / EXECUTION EVIDENCE OPEN,SRC-INT-0002,OPEN-VAL-B4-001,No complete mobile/runtime/localisation QA is inferred.
CLM-B4-IMM-001,SW-004; immersive proposal set,"SW-004 and the Unity/backend source set are an open technical review and proposal package, not implementation, runtime selection, build or deployment evidence.",EVIDENCE_PENDING,OPEN — RUNTIME / IMPLEMENTATION,SRC-INT-0002,OPEN-VAL-B4-001,Product membership is controlled by later PRDs under SUPR-025.
CLM-B4-SEC-001,SEC-001; SEC-002; SEC-003,"The security baseline, operations checklist and web crosscheck are controlled requirements/checks; they do not establish implementation, certification, legal compliance or production security.",EVIDENCE_PENDING,OPEN — IMPLEMENTATION / TESTING / LEGAL REVIEW,SRC-INT-0002,OPEN-VAL-B4-001,Qualified legal and security review remain separate gates.
CLM-B4-SEC-002,SEC-004,SEC-004 is a working review input and declares a v0.4 source pack that is not reconciled as an exact controlled authority.,SOURCE_NOT_RECONCILED,OPEN — DECLARED SOURCE v0.4 MISSING,SRC-INT-0002,OPEN-SOURCE-009,"Do not treat SEC-004 as certification, legal advice or implementation proof."
CLM-B4-SEC-003,ZIP-0359; SYS-002,"The cyber integration zero-occurrence conclusion is incorrect within the bounded searchable corpus: historical capability names and data-model fields exist, including in SYS-002.",SOURCE_NOT_RECONCILED,OPEN — CURRENT PRODUCT PROVENANCE STILL UNRESOLVED,SRC-INT-0002,OPEN-COR006-EX-020; SUPR-026,"Historical occurrence does not establish current Product authority, implementation or privacy approval."
