topic,question,speaker,answer_summary,status,licence_implication,scientific_implication,action_owner,due_date,written_followup_required,source_ref,notes
Instrument version,"What is the current French version/form?",,,,,,,,,,
Digital rights,"Can EMOPET embed the instrument in a commercial digital product?",,,,,,,,,,
Storage,"Can item-level responses be stored?",,,,,,,,,,
Scoring,"Can official scores/subscales be computed in software?",,,,,,,,,,
Repeated use,"Is repeated administration permitted and at what interval?",,,,,,,,,,
Missingness,"What are the official missing/NA/not-applicable rules?",,,,,,,,,,
Short form,"Is there an authorized short form for repeated use?",,,,,,,,,,
External criterion,"Is C-BARQ suitable for construct-specific external validation?",,,,,,,,,,
Constructs,"Which constructs should be prioritized or avoided?",,,,,,,,,,
Study window,"What longitudinal window/questionnaire schedule is defensible?",,,,,,,,,,
Statistics,"Preferred within-dog/between-dog/household model?",,,,,,,,,,
Sample size,"What assumptions should drive power/sample-size planning?",,,,,,,,,,
Holdout,"Would Penn expect independent replication/holdout?",,,,,,,,,,
Collaboration,"Is protocol review or formal research collaboration worth discussing?",,,,,,,,,,
Publication,"What publication/data-sharing/authorship rules would apply?",,,,,,,,,,
